,기업명,채용공고,경력,위치
0,덴컴,Front-end 개발자,경력 4-10년,서울 강남구
1,한국딥러닝주식회사,웹 백엔드 엔지니어,경력 5-20년,서울 서초구
2,넥스프론,JAVA/JSP 웹 개발자 (3년 이상),경력 3-10년,서울 영등포구
3,아파트아이,JAVA 백엔드 개발자(과장급),경력 10-15년,서울 금천구
4,평행공간,Python AI개발자,경력 1-9년,서울 서초구
5,볼트윈,AI기반 시뮬레이션 소프트웨어 Tech Lead,경력 3-20년,서울 강남구
6,월드비전,디지털혁신(IT)팀 (시스템유지보수/3년 이상),경력 3-15년,서울 영등포구
7,스카이웨어,개발(기술) 총괄 풀스텍 PM (개발팀장/사업부장),경력 10-20년,서울 마포구
8,올거나이즈코리아(Allganize Korea),Engineering Director,경력 7-25년,서울 강남구
9,한국딥러닝주식회사,AI 엔지니어 (1년 이상),경력 1-10년,서울 서초구
10,크리스틴컴퍼니,파이썬 백엔드 개발자 / 2년이상(서울),경력 2-5년,서울 강남구
11,위메이드(WEMADE),프론트엔드 개발(게임 퍼블리싱),경력 5-10년,경기 성남시
12,누벤트,서비스 백엔드 개발자 (node.js) (4년 이상),경력 4-10년,서울 강남구
13,오픈소스컨설팅,프론트엔드 개발,경력 5-15년,서울 강남구
14,보이스루,프론트엔드 엔지니어 (3년 이상),경력 3-5년,서울 강남구
15,폴라리스에이아이,사업수행팀 프로젝트 GPT웹 프론트엔드 개발,경력 4-8년,서울 서초구
16,한국딥러닝주식회사,웹 프론트엔드 엔지니어,경력 5-20년,서울 서초구
17,섹타나인,[프론트엔드] 해피페이카드,경력 5-10년,서울 강남구
18,휴톰,Dev Ops 개발자(3년 이상),경력 3-20년,서울 마포구
19,넥스원소프트,프론트엔드 개발 (4년 이상),경력 4-10년,서울 강남구
20,오브라운,플랫폼 개발자 (5~10년),경력 5-10년,서울 강남구
21,셀렉트스타,백엔드 개발자,경력 3-5년,서울 강남구
22,바른번역미디어,백엔드 개발자,경력 3-4년,서울 마포구
23,비큐에이아이,서비스개발본부 미디어데이터팀 백엔드개발자 (주니어),경력 1-3년,서울 중구
24,펀진,딥러닝 엔지니어,경력 1-3년,서울 성동구
25,섹타나인,"[프론트엔드] 해피포인트 선물하기, 해피마켓 및 해피콘",경력 4-10년,서울 강남구
26,고미페이먼츠,B2B 수출 관리 플랫폼 풀스택 개발자,경력 2-5년,서울 강남구
27,덴컴,AI Research Leader,경력 10-15년,서울 강남구
28,유니드컴즈,AI 엔지니어,경력 3-10년,서울 마포구
29,법틀,SW 웹(Back-End / Front) PL개발자 (5년 이상 ~ 7년 이하),경력 5-7년,서울 성동구
30,브릭,데이터 분석가,경력 5-15년,경기 성남시
31,에스더포뮬러,프론트 엔드 개발자,경력 5-13년,서울 강남구
32,큐피스트(글램),프론트엔드 개발자 (React),경력 5-10년,서울 강남구
33,에코마케팅,백엔드 엔지니어(Python),경력 1-3년,서울 송파구
34,에이치앤비라이프,Django 백엔드 개발자(2년 이상),경력 2-3년,경기 
35,엔에스원소프트,백엔드 개발자(5-10년),경력 5-10년,서울 강남구
36,파마브로스,프론트엔드 엔지니어 (5년 이상),경력 5-7년,서울 강남구
37,덴컴,Front-end Tech Leader,경력 8-10년,서울 강남구
38,알티올,WCS 개발 프로젝트 및 디지털 트윈 프로젝트 PL,경력 5-15년,인천 연수구
39,이글루코퍼레이션,보안솔루션 기술지원 엔지니어 (1년 이상),경력 1-2년,서울 송파구
40,포티투닷(42dot),Frontend Engineer (Location Based Service),경력 5-10년,서울 강남구
41,하우빌드,Frontend Engineer(5년 이상),경력 5-12년,서울 강남구
42,카테노이드,웹 개발자 (5년 이상),경력 5-10년,서울 강남구
43,쎄듀,프론트엔드 개발자 (5년 이상),경력 5-10년,서울 강남구
44,엠에스인포테크,웹 퍼블리셔,경력 3-9년,서울 강남구
45,셀렉트스타,AI NLP 연구원,경력 3-5년,서울 강남구
46,미러,블록체인 / 웹 풀스택 개발자,경력 3-13년,경기 성남시
47,블루밍비트,React Native 모바일 앱 개발자 (3년 이상),경력 3-7년,서울 강남구
48,그린카,Mobile파트 매니저,경력 3-4년,서울 강남구
49,덴컴,음성 및 자연어 AI Researcher 및 AI Senior Researcher,경력 4-10년,서울 강남구
50,스탠바이랩,프론트엔드 엔지니어 (3년 이상),경력 3-10년,서울 강남구
51,오엠티아이코리아,ASP.NET 중급 개발자,경력 2-7년,서울 서초구
52,블루밍비트,백엔드 엔지니어(파이썬) (3년 이상),경력 3-7년,서울 강남구
53,투블럭에이아이,파이썬 백엔드 개발자,경력 3-10년,서울 서초구
54,인터엑스,"[서울] AI Researcher (언어모델, LLM, NLP)",경력 2-7년,서울 금천구
55,스펙터,풀스택 개발자 (7년 이상),경력 7-20년,서울 강남구
56,같다(gatda Corp),[빼기] Head of Technical Development(HTD/10년이상),경력 10-20년,서울 성동구
57,도슨티,Software engineer,경력 1-50년,서울 
58,카펜스트리트(에이콘3D),Frontend Engineer (5년 이상),경력 5-8년,서울 강남구
59,어크로스비,이커머스 물류 플랫폼 Senior Frontend Developer,경력 5-25년,서울 서초구
60,파워테스크,[아웃코드] 프론트엔드 개발자,경력 5-10년,서울 강남구
61,씨엘모빌리티,"AI연구소 AI 개발 연구 (딥러닝, 강화학습 분야)",경력 2-7년,서울 강남구
62,노타(Nota),AI Research Engineer (EdgeFM팀),경력 2-5년,서울 강남구
63,디원더,Flutter 개발자(2년 이상),경력 2-5년,서울 서초구
64,라이프시맨틱스,ML Researcher,경력 3-10년,서울 강남구
65,이지식스(엠블),[TADA] DevOps Engineer,경력 5-8년,서울 강남구
66,아이네블루메(채티),백엔드 엔지니어 (Python),경력 3-10년,서울 강남구
67,팀프레시,[100억↑투자] 아키텍처팀 아키텍트 담당자,경력 3-9년,서울 강남구
68,펫박스,E커머스 솔루션 프론트엔드 개발자,경력 5-10년,서울 마포구
69,비주얼신,Deep Learning Engineer,경력 3-7년,서울 강남구
70,와이즐리컴퍼니,애널리틱스 엔지니어,경력 3-10년,서울 서초구
71,피트릭스,풀스택 개발자,경력 3-8년,서울 강남구
72,하이얼코리아알앤디(GE Appliances),Cloud Engineer,경력 2-3년,경기 성남시
73,펀진,"개발자 (JAVA,Python,AI,IoT)",경력 5-20년,서울 성동구
74,이모티브,머신러닝연구원(ML Researcher),경력 2-8년,서울 강남구
75,보로노이,신약개발 인공지능 연구원 (3년이상),경력 3-10년,인천 연수구
76,비에프에이아이,글로벌 AI 마켓플레이스 FE/BE 개발자 - 코파운더급,경력 3-15년,서울 
77,오렌지아이,Java 리액트 프론트엔드 개발자 (판교),경력 4-6년,서울 
78,북아이피스,웹 프론트엔드 엔지니어 (Studio),경력 5-10년,서울 서초구
79,올거나이즈코리아(Allganize Korea),Sr. React Front-end Engineer,경력 5-10년,서울 강남구
