거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"73,000",중개거래,1999,2024,102,24.04.29,개인,개인,명일동,명일지에스아파트,3,1,59.79,서울 강동구,332,11740,3,,
"107,000",중개거래,1983,2024,,,개인,개인,명일동,삼익그린2차,3,1,66.87,서울 강동구,15,11740,14,,
"81,500",중개거래,1983,2024,,,개인,개인,명일동,삼익그린2차,3,1,42.93,서울 강동구,15,11740,10,,
"116,000",중개거래,2019,2024,,,개인,개인,명일동,래미안솔베뉴,3,2,59.29,서울 강동구,359,11740,7,,
"90,000",중개거래,1999,2024,,,개인,개인,명일동,명일지에스아파트,3,2,84.9,서울 강동구,332,11740,6,,
"80,000",중개거래,1983,2024,,,개인,개인,명일동,삼익그린2차,3,6,42.93,서울 강동구,15,11740,9,,
"157,000",중개거래,1986,2024,,,개인,개인,명일동,한양,3,7,119.37,서울 강동구,54,11740,6,,
"116,500",중개거래,2019,2024,,,개인,개인,명일동,래미안솔베뉴,3,8,59.11,경기 하남시,359,11740,15,,
"115,500",중개거래,2019,2024,,,개인,개인,명일동,래미안솔베뉴,3,9,59.11,서울 강동구,359,11740,12,,
"94,000",중개거래,1984,2024,,,개인,개인,명일동,삼익가든,3,16,82.45,서울 강동구,270,11740,6,,
"114,300",중개거래,2019,2024,103,24.04.19,개인,개인,명일동,래미안솔베뉴,3,16,59.11,서울 강동구,359,11740,11,,
"98,000",중개거래,1983,2024,,,개인,개인,명일동,삼익그린2차,3,21,54.81,서울 송파구,15,11740,6,,
"109,500",중개거래,1983,2024,501,24.03.28,개인,개인,명일동,삼익그린2차,3,22,66.87,서울 송파구,15,11740,4,,
"70,000",중개거래,2004,2024,,,개인,개인,명일동,에스엠해그린,3,22,79.45,서울 강동구,357,11740,12,,
"100,000",중개거래,2019,2024,,,개인,개인,명일동,래미안솔베뉴,3,23,49.68,서울 강동구,359,11740,21,,
"93,500",중개거래,1984,2024,,,개인,개인,명일동,삼익그린2차,3,25,54.81,서울 강동구,15,11740,15,,
"120,000",중개거래,2019,2024,,,개인,개인,명일동,래미안솔베뉴,3,26,59.11,서울 강동구,359,11740,30,,
"119,500",중개거래,2019,2024,,,개인,개인,명일동,래미안솔베뉴,3,28,59.29,서울 강동구,359,11740,11,,
"109,500",중개거래,1985,2024,903,24.04.03,개인,개인,명일동,고덕주공9,3,30,83.52,서울 강동구,257,11740,3,,
"140,000",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,1,73.873,서울 강동구,693,11740,19,,
"123,500",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,1,59.785,서울 강동구,693,11740,6,,
"123,800",중개거래,2016,2024,,,개인,개인,고덕동,래미안힐스테이트고덕,3,1,59.35,서울 강동구,688,11740,18,,
"123,800",중개거래,2016,2024,,,개인,개인,고덕동,래미안힐스테이트고덕,3,2,59.96,서울 강동구,688,11740,11,,
"122,000",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,2,59.785,서울 강동구,693,11740,15,,
"119,000",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,3,59.785,서울 강동구,693,11740,3,,
"100,000",중개거래,1996,2024,5,24.03.05,개인,개인,고덕동,아남1,3,4,84.91,경기 성남시분당구,486,11740,15,,
"170,000",중개거래,2019,2024,106,24.04.12,개인,개인,고덕동,고덕그라시움,3,4,84.046,서울 강동구,693,11740,25,,
"81,500",중개거래,1995,2024,103,24.04.08,개인,개인,고덕동,배재현대,3,5,59.94,서울 강동구,312,11740,10,,
"155,000",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,8,84.24,서울 강동구,693,11740,14,,
"125,000",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,8,59.785,서울 강동구,693,11740,9,,
"139,800",중개거래,2016,2024,,,개인,개인,고덕동,래미안힐스테이트고덕,3,8,84.9,서울 강동구,688,11740,16,,
"118,800",중개거래,2011,2024,,,개인,개인,고덕동,고덕 아이파크,3,9,59.99,서울 강동구,499,11740,8,,
"174,000",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,9,84.046,서울 강동구,693,11740,7,,
"141,500",중개거래,2016,2024,,,개인,개인,고덕동,래미안힐스테이트고덕,3,9,84.88,서울 강동구,688,11740,19,,
"125,000",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,9,59.028,서울 강동구,693,11740,2,,
"135,000",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,10,73.566,서울 강동구,693,11740,11,,
"151,500",중개거래,2016,2024,,,개인,개인,고덕동,래미안힐스테이트고덕,3,10,84.83,서울 강동구,688,11740,23,,
"126,000",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,10,59.508,서울 강동구,693,11740,7,,
"110,300",중개거래,1995,2024,,,개인,개인,고덕동,배재현대,3,11,84.9,서울 강동구,312,11740,21,,
"138,700",직거래,2011,2024,,,개인,개인,고덕동,고덕 아이파크,3,11,84.98,,499,11740,10,,
"125,000",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,11,59.785,서울 강동구,693,11740,4,,
"158,500",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,11,84.244,서울 강동구,693,11740,5,,
"123,000",중개거래,2019,2024,153,24.04.15,개인,개인,고덕동,고덕그라시움,3,11,59.785,서울 강동구,693,11740,16,,
"167,000",중개거래,2016,2024,,,개인,개인,고덕동,래미안힐스테이트고덕,3,11,97.26,서울 강동구,688,11740,11,,
"87,000",중개거래,1995,2024,,,개인,개인,고덕동,배재현대,3,13,59.94,서울 강동구,312,11740,6,,
"163,000",중개거래,2019,2024,109,24.04.29,개인,개인,고덕동,고덕그라시움,3,13,84.244,서울 강동구,693,11740,23,,
"133,000",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,14,59.785,서울 강동구,693,11740,17,,
"97,000",중개거래,1996,2024,,,개인,개인,고덕동,아남1,3,15,84.91,서울 강동구,486,11740,7,,
"98,000",중개거래,2020,2024,,,개인,개인,고덕동,고덕센트럴푸르지오,3,16,59.06,서울 강동구,210-1,11740,17,,
"120,500",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,16,59.785,"경기 구리시, 서울 강동구",693,11740,16,,
"119,300",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,16,59.785,서울 강동구,693,11740,7,,
"131,500",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,16,73.873,서울 강동구,693,11740,1,,
"157,200",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,16,84.244,서울 강동구,693,11740,15,,
"164,000",중개거래,2019,2024,104,24.04.26,개인,개인,고덕동,고덕그라시움,3,16,84.24,서울 강동구,693,11740,2,,
"87,000",중개거래,1995,2024,103,24.04.29,개인,개인,고덕동,배재현대,3,16,59.94,서울 강동구,312,11740,9,,
"140,500",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,18,73.873,서울 강동구,693,11740,6,,
"150,000",중개거래,2016,2024,,,개인,개인,고덕동,래미안힐스테이트고덕,3,18,84.88,서울 강동구,688,11740,15,,
"161,000",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,19,84.24,서울 강동구,693,11740,9,,
"175,000",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,20,84.046,서울 강동구,693,11740,20,,
"117,000",직거래,2016,2024,,,개인,개인,고덕동,래미안힐스테이트고덕,3,21,59.35,,688,11740,13,24.04.01,O
"120,500",중개거래,2019,2024,,,개인,개인,고덕동,고덕그라시움,3,23,59.785,서울 강동구,693,11740,12,,
"61,700",중개거래,1996,2024,8,24.04.26,개인,개인,고덕동,아남1,3,23,50.2,서울 강동구,486,11740,1,,
