거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"79,000",중개거래,2010,2024,,,개인,개인,미아동,래미안트리베라1단지,3,1,84.97,서울 강북구,813,11305,1,,
"85,000",중개거래,2017,2024,,,개인,개인,미아동,꿈의숲롯데캐슬,3,1,84.98,서울 강북구,4,11305,4,,
"59,000",중개거래,2003,2024,,,개인,개인,미아동,경남아너스빌(1356-0),3,2,59.964,서울 강북구,1356,11305,13,,
"54,900",중개거래,2004,2024,,,개인,개인,미아동,벽산라이브파크,3,4,60,서울 강북구,1354,11305,16,,
"43,500",직거래,2002,2024,103,24.03.21,개인,개인,미아동,미아한일유앤아이,3,6,84.552,,1355,11305,9,,
"76,000",중개거래,2011,2024,,,개인,개인,미아동,두산위브트레지움,3,7,84.99,서울 강북구,811,11305,14,,
"81,000",중개거래,2011,2024,,,개인,개인,미아동,두산위브트레지움,3,7,84.97,서울 강북구,811,11305,14,,
"82,500",중개거래,2019,2024,,,개인,개인,미아동,꿈의숲해링턴플레이스,3,7,84.67,서울 강북구,1369,11305,2,,
"58,900",중개거래,2004,2024,,,개인,개인,미아동,에스케이북한산시티,3,8,59.98,서울 강북구,1353,11305,13,,
"67,400",중개거래,2004,2024,,,개인,개인,미아동,에스케이북한산시티,3,8,84.86,서울 강북구,1353,11305,21,,
"79,500",중개거래,2017,2024,,,개인,개인,미아동,꿈의숲롯데캐슬,3,8,59.98,서울 강북구,4,11305,9,,
"62,800",중개거래,2004,2024,,,개인,개인,미아동,에스케이북한산시티,3,9,84.76,서울 강북구,1353,11305,17,,
"59,900",중개거래,2003,2024,,,개인,개인,미아동,경남아너스빌(1356-0),3,9,59.964,서울 강북구,1356,11305,15,,
"97,500",중개거래,2010,2024,,,개인,개인,미아동,래미안트리베라1단지,3,9,114.98,서울 강북구,813,11305,19,,
"83,000",중개거래,2010,2024,,,개인,개인,미아동,송천센트레빌,3,9,59.762,서울 강북구,461,11305,8,,
"52,700",중개거래,2004,2024,,,개인,개인,미아동,벽산라이브파크,3,12,59.67,서울 강북구,1354,11305,9,,
