거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"103,000",직거래,2005,2024,104,24.03.14,개인,개인,염창동,염창1차한화꿈에그린,3,1,67.43,,281-22,11500,9,,
"50,000",중개거래,2006,2024,,,개인,개인,염창동,엠그린,3,1,59.73,서울 강서구,241-24,11500,3,,
"62,000",중개거래,1996,2024,,,개인,개인,염창동,현대3,3,4,59.92,서울 강서구,291,11500,12,,
"79,000",중개거래,1998,2024,,,개인,개인,염창동,한강동아,3,5,59.97,서울 강서구,293,11500,17,,
"87,000",중개거래,1998,2024,,,개인,개인,염창동,동아,3,5,84.95,서울 강서구,292,11500,8,,
"62,000",중개거래,1998,2024,105,24.03.28,개인,개인,염창동,동아,3,6,59.97,서울 강서구,292,11500,8,,
"65,000",중개거래,1999,2024,,,개인,개인,염창동,태영,3,9,59.97,서울 강서구,270-1,11500,8,,
"70,800",중개거래,1999,2024,,,개인,개인,염창동,대림,3,9,59.94,서울 강서구,262-2,11500,9,,
"62,500",중개거래,1998,2024,,,개인,개인,염창동,동아,3,9,59.97,서울 강서구,292,11500,15,,
"67,000",중개거래,1998,2024,104,24.04.15,개인,개인,염창동,동아,3,12,59.97,서울 강서구,292,11500,14,,
"64,000",중개거래,1995,2024,,,개인,개인,염창동,신동아,3,13,59.82,서울 강서구,289,11500,12,,
"107,500",중개거래,2019,2024,,,개인,개인,염창동,e편한세상염창,3,14,59.9812,서울 강서구,309,11500,8,,
"88,500",중개거래,1990,2024,,,개인,개인,염창동,염창동한강우성,3,15,84.68,서울 강서구,66-9,11500,8,,
"78,300",중개거래,1999,2024,,,개인,개인,염창동,금호타운,3,15,59.88,서울 강서구,240-32,11500,8,,
"65,700",중개거래,1996,2024,,,개인,개인,염창동,현대3,3,16,59.92,서울 동작구,291,11500,11,,
"102,000",중개거래,1999,2024,,,개인,개인,염창동,동아3,3,20,84.87,서울 강서구,258-1,11500,12,,
"60,000",중개거래,2004,2024,,,개인,개인,염창동,이너스내안에,3,23,59.9,서울 강서구,254-2,11500,6,,
"63,000",중개거래,1998,2024,,,개인,개인,염창동,동아,3,23,59.97,서울 강서구,292,11500,16,,
"73,500",중개거래,1994,2024,,,개인,개인,염창동,태진한솔,3,23,58.87,서울 강서구,263,11500,9,,
"119,500",중개거래,2019,2024,104동,24.04.29,개인,개인,염창동,e편한세상염창,3,23,74.2998,서울 강서구,309,11500,19,,
"66,000",중개거래,1996,2024,,,개인,개인,염창동,현대3,3,24,59.92,서울 강서구,291,11500,8,,
"70,000",중개거래,1993,2024,,,개인,개인,염창동,현대2,3,25,84.54,서울 강서구,249-11,11500,5,,
"68,500",중개거래,1997,2024,,,개인,개인,염창동,관음삼성,3,30,59.96,서울 강서구,268,11500,1,,
"134,000",중개거래,2019,2024,,,개인,개인,염창동,e편한세상염창,3,31,84.9783,서울 강서구,309,11500,17,,
"50,000",중개거래,1995,2024,204,24.03.25,개인,개인,등촌동,"등촌1,2단지주공아파트",3,2,41.85,서울 강서구,687,11500,14,,
"110,000",중개거래,2003,2024,,,개인,개인,등촌동,대동황토방2,3,4,114.99,서울 강서구,713,11500,12,,
"22,500",직거래,2011,2024,101,24.03.14,개인,개인,등촌동,계명위너스,3,4,29.69,,646-29,11500,3,,
"93,000",중개거래,2004,2024,103,24.04.19,개인,개인,등촌동,등촌동아이파크,3,5,84.9958,서울 강서구,715,11500,20,,
"100,000",중개거래,2004,2024,,,개인,개인,등촌동,등촌동아이파크,3,6,84.7556,서울 강서구,715,11500,13,,
"58,000",중개거래,1998,2024,,,개인,개인,등촌동,태영,3,8,59.97,서울 강서구,632-2,11500,1,,
"84,000",중개거래,1994,2024,,,개인,개인,등촌동,부영,3,9,80.64,서울 강서구,691-3,11500,15,,
"77,800",중개거래,1994,2024,,,개인,개인,등촌동,"진로,미주아파트",3,9,84.96,서울 강서구,701,11500,3,,
"84,000",중개거래,1994,2024,,,개인,개인,등촌동,부영,3,9,80.64,서울 강서구,691-3,11500,15,,
"72,500",중개거래,1995,2024,,,개인,개인,등촌동,주공5,3,9,58.14,서울 강서구,695,11500,14,,
"92,000",중개거래,1995,2024,,,개인,개인,등촌동,대림,3,11,89.975,서울 강서구,694,11500,11,,
"50,700",중개거래,1995,2024,,,개인,개인,등촌동,주공5,3,11,37.67,서울 강서구,695,11500,6,,
"82,000",중개거래,1999,2024,,,개인,개인,등촌동,한사랑2삼성,3,11,84.96,서울 강서구,634-2,11500,6,,
"76,700",중개거래,1997,2024,,,개인,개인,등촌동,삼성한사랑1,3,12,84.99,서울 강서구,632-4,11500,4,,
"70,500",중개거래,1995,2024,,,개인,개인,등촌동,주공5,3,13,58.14,서울 강서구,695,11500,3,,
"95,500",중개거래,1995,2024,,,개인,개인,등촌동,대림,3,16,89.975,서울 강서구,694,11500,16,,
"95,800",중개거래,2004,2024,,,개인,개인,등촌동,등촌동아이파크,3,16,84.7556,서울 강서구,715,11500,16,24.04.11,O
"46,800",중개거래,1995,2024,,,개인,개인,등촌동,주공5,3,18,37.67,서울 강서구,695,11500,1,24.04.04,O
"75,700",중개거래,1994,2024,,,개인,개인,등촌동,"진로,미주아파트",3,18,84.96,서울 강서구,701,11500,3,,
"92,000",중개거래,2005,2024,,,개인,개인,등촌동,등촌동아이파크,3,18,84.7556,서울 강서구,715,11500,14,,
"60,000",중개거래,1997,2024,,,개인,개인,등촌동,신송타워,3,19,84.96,서울 강서구,662-3,11500,11,,
"51,000",중개거래,1995,2024,,,개인,개인,등촌동,"등촌1,2단지주공아파트",3,20,41.85,서울 강서구,687,11500,6,,
"97,000",중개거래,2004,2024,,,개인,개인,등촌동,등촌동아이파크,3,20,84.9958,서울 강서구,715,11500,3,,
"69,000",중개거래,2000,2024,,,개인,개인,등촌동,대동황토방,3,20,59.94,"경기 의왕시, 서울 강서구",631-9,11500,16,,
"61,000",직거래,1995,2024,505,24.04.16,개인,개인,등촌동,주공5,3,21,58.14,,695,11500,7,,
"52,000",중개거래,1995,2024,,,개인,개인,등촌동,"등촌1,2단지주공아파트",3,21,41.85,서울 강서구,687,11500,9,,
"88,000",중개거래,2005,2024,,,개인,개인,등촌동,등촌동아이파크,3,21,84.7556,서울 강서구,715,11500,2,,
"42,500",직거래,1995,2024,1004,24.04.11,개인,개인,등촌동,주공10,3,22,37.67,,702,11500,14,,
"77,500",중개거래,1994,2024,,,개인,개인,등촌동,"진로,미주아파트",3,22,84.96,서울 강서구,701,11500,5,,
"55,800",중개거래,1994,2024,,,개인,개인,등촌동,"등촌7,8단지주공아파트",3,23,41.85,서울 강서구,707,11500,6,,
"61,000",중개거래,1998,2024,,,개인,개인,등촌동,태영,3,23,59.97,서울 강서구,632-2,11500,12,,
"98,000",중개거래,1995,2024,,,개인,개인,등촌동,대림,3,23,89.975,서울 강서구,694,11500,15,,
"83,000",중개거래,1994,2024,,,개인,개인,등촌동,부영,3,24,80.64,서울 강서구,691-3,11500,12,,
"78,000",중개거래,2003,2024,,,개인,개인,등촌동,등촌동보람쉬움아파트,3,25,84.51,서울 강서구,641-4,11500,8,,
"82,000",중개거래,1999,2024,,,개인,개인,등촌동,서광등촌마을아파트,3,26,84.93,서울 강서구,638,11500,6,,
"93,000",중개거래,2005,2024,,,개인,개인,등촌동,등촌동아이파크,3,26,84.7556,서울 강서구,715,11500,12,,
"122,000",중개거래,2004,2024,,,개인,개인,등촌동,등촌동아이파크,3,27,134.8836,서울 강서구,715,11500,11,,
