거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"89,800",중개거래,2004,2024,,,개인,개인,봉천동,벽산블루밍3차,3,1,111.04,서울 관악구,1720,11620,20,,
"74,000",중개거래,2000,2024,,,개인,개인,봉천동,봉천우성,3,2,84.96,서울 관악구,1706,11620,2,,
"81,800",중개거래,2000,2024,,,개인,개인,봉천동,봉천동아,3,2,84.87,서울 관악구,1703,11620,6,,
"72,000",중개거래,2005,2024,,,개인,개인,봉천동,벽산블루밍,3,2,59.99,서울 관악구,1718,11620,13,,
"79,000",중개거래,2005,2024,,,개인,개인,봉천동,벽산블루밍,3,2,84.99,서울 관악구,1718,11620,7,,
"69,900",중개거래,2004,2024,,,개인,개인,봉천동,관악푸르지오,3,2,59.58,서울 관악구,1717,11620,2,,
"77,000",중개거래,2004,2024,,,개인,개인,봉천동,관악푸르지오,3,4,59.58,서울 관악구,1717,11620,6,,
"63,600",중개거래,1992,2024,,,개인,개인,봉천동,현대(관악),3,6,58.59,서울 관악구,1000,11620,3,,
"30,000",중개거래,2003,2024,,,개인,개인,봉천동,봉천두솔,3,6,54.87,서울 관악구,1526-16,11620,1,24.03.07,O
"60,000",직거래,1996,2024,103,24.04.04,개인,개인,봉천동,보라매삼성,3,7,84.84,,1698-1,11620,7,,
"51,500",중개거래,2006,2024,,,개인,개인,봉천동,위너스이즈,3,8,79.82,서울 관악구,1608-28,11620,4,,
"73,000",중개거래,2003,2024,,,개인,개인,봉천동,관악드림(삼성),3,8,60,서울 관악구,1712,11620,3,,
"61,000",직거래,2003,2024,,,개인,개인,봉천동,관악드림(동아),3,8,114.75,,1712,11620,7,,
"79,000",중개거래,2000,2024,,,개인,개인,봉천동,봉천우성,3,8,84.96,서울 관악구,1706,11620,10,,
"71,750",중개거래,2005,2024,,,개인,개인,봉천동,브라운스톤관악,3,9,59.67,서울 관악구,1721,11620,5,,
"92,300",중개거래,2000,2024,,,개인,개인,봉천동,두산,3,9,84.87,서울 관악구,1708,11620,7,,
"71,300",중개거래,2005,2024,,,개인,개인,봉천동,벽산블루밍,3,9,59.99,서울 관악구,1718,11620,17,,
"65,000",중개거래,2005,2024,109,24.04.22,개인,개인,봉천동,벽산블루밍,3,11,59.99,서울 관악구,1718,11620,3,,
"65,500",중개거래,2000,2024,205,24.04.03,개인,개인,봉천동,은천2단지아파트,3,11,59.93,서울 관악구,1707-1,11620,12,,
"52,000",직거래,2000,2024,204,24.03.12,개인,개인,봉천동,은천2단지아파트,3,11,49.95,,1707-1,11620,3,,
"78,500",중개거래,2000,2024,,,개인,개인,봉천동,두산,3,12,59.89,서울 관악구,1708,11620,19,,
"91,000",중개거래,2000,2024,104,24.04.12,개인,개인,봉천동,봉천우성,3,12,114.78,서울 동작구,1706,11620,19,,
"92,500",중개거래,2000,2024,,,개인,개인,봉천동,봉천우성,3,13,114.78,서울 관악구,1706,11620,12,,
"75,700",중개거래,2004,2024,,,개인,개인,봉천동,관악푸르지오,3,13,59.58,서울 관악구,1717,11620,13,,
"75,000",중개거래,2004,2024,110,24.04.16,개인,개인,봉천동,관악푸르지오,3,16,59.58,서울 관악구,1717,11620,15,,
"84,700",중개거래,2000,2024,,,개인,개인,봉천동,봉천우성,3,16,84.96,서울 관악구,1706,11620,15,,
"75,700",중개거래,2004,2024,,,개인,개인,봉천동,관악푸르지오,3,16,59.58,서울 관악구,1717,11620,11,,
"88,500",중개거래,2003,2024,,,개인,개인,봉천동,관악드림(삼성),3,16,84.96,서울 관악구,1712,11620,11,,
"93,500",중개거래,2003,2024,,,개인,개인,봉천동,관악드림(삼성),3,16,102,서울 관악구,1712,11620,4,,
"87,500",중개거래,2006,2024,,,개인,개인,봉천동,서울대입구아이원(1560-61),3,16,84.89,서울 관악구,1560-61,11620,6,,
