거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"56,000",중개거래,2005,2024,,,개인,개인,중곡동,진흥아르미,3,4,84.84,서울 광진구,252-8,11215,5,,
"118,500",중개거래,1994,2024,,,개인,개인,구의동,구의현대6단지,3,2,84.92,서울 광진구,610,11215,12,,
"108,000",중개거래,1997,2024,,,개인,개인,구의동,현대프라임,3,2,59.82,서울 광진구,631-1,11215,13,,
"106,000",중개거래,1997,2024,,,개인,개인,구의동,현대프라임,3,4,59.82,서울 광진구,631-1,11215,16,,
"88,000",중개거래,1997,2024,703,24.04.16,개인,개인,구의동,구의현대7단지현대홈타운,3,7,59.97,서울 광진구,587-54,11215,16,,
"134,000",중개거래,2004,2024,,,개인,개인,구의동,강변현대하이엘,3,8,130.89,서울 광진구,547,11215,2,,
"148,000",중개거래,1996,2024,,,개인,개인,구의동,구의현대2단지,3,9,84.91,서울 광진구,611,11215,22,,
"138,000",중개거래,2018,2024,,,개인,개인,구의동,래미안파크스위트,3,11,84.98,서울 광진구,668,11215,7,,
"118,000",중개거래,2018,2024,,,개인,개인,구의동,래미안파크스위트,3,11,59.98,서울 광진구,668,11215,11,,
"60,000",중개거래,2020,2024,,,개인,개인,구의동,광진파크프라이빗,3,11,56.76,서울 강남구,670,11215,2,,
"135,400",중개거래,1996,2024,,,개인,개인,구의동,구의현대2단지,3,13,84.88,서울 광진구,611,11215,25,,
"119,000",중개거래,1992,2024,,,개인,개인,구의동,구의강변우성아파트,3,16,84.76,서울 광진구,546-7,11215,11,,
"104,500",중개거래,1997,2024,,,개인,개인,구의동,현대프라임,3,18,59.82,서울 광진구,631-1,11215,6,,
"145,000",중개거래,1996,2024,208,24.04.17,개인,개인,구의동,구의현대2단지,3,19,84.91,서울 광진구,611,11215,16,,
"112,000",중개거래,2000,2024,,,개인,개인,구의동,새한,3,19,84.91,서울 광진구,656,11215,8,,
"113,000",중개거래,1997,2024,,,개인,개인,구의동,현대프라임,3,20,59.82,서울 광진구,631-1,11215,21,,
"109,000",중개거래,1997,2024,,,개인,개인,구의동,현대프라임,3,25,59.82,서울 광진구,631-1,11215,10,24.04.16,O
"109,000",중개거래,1997,2024,,,개인,개인,구의동,현대프라임,3,25,59.82,서울 광진구,631-1,11215,10,,
"130,000",직거래,2018,2024,102,24.03.25,개인,개인,구의동,래미안파크스위트,3,25,84.98,,668,11215,4,,
"143,000",중개거래,1996,2024,,,개인,개인,구의동,구의현대2단지,3,26,84.91,서울 광진구,611,11215,9,,
"125,000",중개거래,1996,2024,,,개인,개인,구의동,구의현대2단지,3,26,84.86,서울 광진구,611,11215,2,,
"121,000",중개거래,2018,2024,,,개인,개인,구의동,래미안파크스위트,3,29,59.98,서울 광진구,668,11215,11,,
"105,000",중개거래,2004,2024,,,개인,개인,구의동,강변현대하이엘,3,29,84.72,서울 광진구,547,11215,14,,
"141,500",중개거래,1989,2024,,,개인,개인,광장동,극동2,3,1,75.55,서울 광진구,218-1,11215,12,,
"120,000",중개거래,1990,2024,,,개인,개인,광장동,현대3,3,2,74.92,서울 광진구,484,11215,5,,
"90,000",중개거래,1996,2024,,,개인,개인,광장동,청구,3,2,59.95,서울 광진구,566,11215,16,,
"97,000",중개거래,1996,2024,,,개인,개인,광장동,청구,3,2,59.95,서울 광진구,566,11215,5,,
"117,000",중개거래,2001,2024,103,24.03.15,개인,개인,광장동,금호베스트빌,3,4,84.91,서울 광진구,578,11215,16,,
"98,700",중개거래,1987,2024,,,개인,개인,광장동,워커힐푸르지오,3,7,65.66,서울 광진구,148-4,11215,11,,
"160,000",중개거래,1989,2024,,,개인,개인,광장동,극동2,3,9,84.55,서울 광진구,218-1,11215,12,,
"109,500",중개거래,1999,2024,,,개인,개인,광장동,광장현대9단지,3,9,59.97,서울 광진구,576,11215,8,,
"131,000",중개거래,2007,2024,,,개인,개인,광장동,신동아파밀리에,3,9,84.78,서울 광진구,250,11215,4,,
"119,500",중개거래,1999,2024,,,개인,개인,광장동,광장현대9단지,3,11,84.96,서울 광진구,576,11215,1,,
"145,500",중개거래,1989,2024,,,개인,개인,광장동,극동2,3,14,84.55,서울 광진구,218-1,11215,1,,
"300,000",중개거래,1978,2024,,,개인,개인,광장동,워커힐,3,14,226.45,서울 광진구,145-8,11215,2,,
"94,100",중개거래,1996,2024,,,개인,개인,광장동,청구,3,16,59.95,서울 광진구,566,11215,12,,
"96,000",중개거래,1996,2024,,,개인,개인,광장동,청구,3,16,59.95,서울 광진구,566,11215,9,,
"144,000",중개거래,2007,2024,,,개인,개인,광장동,신동아파밀리에,3,16,84.78,서울 광진구,250,11215,11,,
"113,200",중개거래,2000,2024,1001,24.04.09,개인,개인,광장동,현대파크빌,3,16,59.76,서울 광진구,577,11215,22,,
"111,000",중개거래,1989,2024,,,개인,개인,광장동,현대5,3,16,59.67,서울 광진구,554-7,11215,12,,
"110,000",직거래,1990,2024,,,개인,개인,광장동,현대3,3,16,84.97,,484,11215,13,,
"109,200",중개거래,1990,2024,,,개인,개인,광장동,현대3,3,16,74.92,서울 광진구,484,11215,3,,
"117,000",중개거래,2001,2024,,,개인,개인,광장동,금호베스트빌,3,19,84.91,서울 광진구,578,11215,5,,
"95,900",중개거래,1996,2024,,,개인,개인,광장동,청구,3,21,59.95,서울 광진구,566,11215,10,,
"128,000",중개거래,1999,2024,,,개인,개인,광장동,광장현대9단지,3,21,84.96,서울 광진구,576,11215,5,,
"99,000",중개거래,1990,2024,,,개인,개인,광장동,현대3,3,21,59.67,서울 광진구,484,11215,7,,
"120,000",직거래,1995,2024,802,24.04.11,개인,개인,광장동,"현대8(801동,802동)",3,22,84.92,,565,11215,22,,
"118,000",중개거래,1989,2024,,,개인,개인,광장동,현대5,3,22,59.67,서울 광진구,554-7,11215,17,,
"118,000",중개거래,2001,2024,,,개인,개인,광장동,금호베스트빌,3,23,84.91,서울 광진구,578,11215,20,,
"94,400",중개거래,2001,2024,,,개인,개인,광장동,금호베스트빌,3,23,59.93,서울 광진구,578,11215,4,,
"125,000",중개거래,1996,2024,,,개인,개인,광장동,청구,3,23,84.86,서울 광진구,566,11215,8,,
"95,700",중개거래,1996,2024,,,개인,개인,광장동,청구,3,23,59.95,서울 광진구,566,11215,7,,
