거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"130,500",중개거래,2001,2024,,,개인,개인,신도림동,대림2,3,2,134.99,서울 구로구,642,11530,18,,
"90,500",중개거래,1999,2024,,,개인,개인,신도림동,동아1,3,4,59.978,서울 구로구,643,11530,17,,
"155,500",중개거래,2003,2024,,,개인,개인,신도림동,대림e-편한세상4,3,6,117.74,서울 구로구,646,11530,12,,
"84,000",중개거래,1999,2024,,,개인,개인,신도림동,현대홈타운아파트,3,8,84.69,서울 구로구,641,11530,1,,
"80,000",중개거래,1999,2024,,,개인,개인,신도림동,대림1,3,13,59.9,서울 구로구,642,11530,3,,
"92,500",중개거래,2000,2024,,,개인,개인,신도림동,동아3,3,13,60,서울 구로구,645,11530,5,,
"157,500",중개거래,2003,2024,,,개인,개인,신도림동,대림e-편한세상4,3,17,117.74,서울 구로구,646,11530,17,,
"96,500",중개거래,2000,2024,,,개인,개인,신도림동,동아3,3,18,60,서울 구로구,645,11530,9,,
"78,500",중개거래,1999,2024,,,개인,개인,신도림동,대림1,3,19,59.88,서울 구로구,642,11530,19,,
"151,000",중개거래,2003,2024,,,개인,개인,신도림동,대림e-편한세상4,3,22,117.74,서울 구로구,646,11530,5,,
"95,000",중개거래,2001,2024,603,24.04.12,개인,개인,신도림동,대림3,3,22,84.51,서울 구로구,691,11530,21,,
"82,500",중개거래,2001,2024,,,개인,개인,신도림동,대림2,3,23,59.9,서울 구로구,642,11530,7,,
"95,000",중개거래,1999,2024,,,개인,개인,신도림동,동아1,3,23,59.978,서울 구로구,643,11530,7,,
"155,000",중개거래,2003,2024,,,개인,개인,신도림동,대림e-편한세상4,3,23,117.74,서울 구로구,646,11530,11,,
"155,000",중개거래,2003,2024,,,개인,개인,신도림동,대림e-편한세상4,3,23,117.74,서울 구로구,646,11530,11,24.03.30,O
"62,000",중개거래,1997,2024,,,개인,개인,신도림동,신성은하수,3,25,59.88,서울 강서구,640,11530,16,,
"81,500",중개거래,1999,2024,,,개인,개인,신도림동,대림1,3,25,59.88,서울 구로구,642,11530,25,,
"110,000",중개거래,2003,2024,,,개인,개인,신도림동,대림e-편한세상5,3,25,84.789,서울 구로구,647,11530,3,,
"80,400",중개거래,1999,2024,,,개인,개인,신도림동,대림1,3,26,59.82,서울 구로구,642,11530,23,,
"75,000",중개거래,1999,2024,,,개인,개인,신도림동,현대홈타운아파트,3,26,59.73,서울 구로구,641,11530,8,,
"115,000",중개거래,1999,2024,,,개인,개인,신도림동,동아1,3,29,84.908,서울 구로구,643,11530,3,,
"130,500",중개거래,2001,2024,,,개인,개인,신도림동,대림2,3,29,134.99,서울 구로구,642,11530,12,,
"110,000",중개거래,2001,2024,,,개인,개인,신도림동,대림2,3,29,84.95,서울 구로구,642,11530,27,,
"82,250",중개거래,1999,2024,,,개인,개인,신도림동,대림1,3,30,59.88,서울 구로구,642,11530,22,,
"168,500",중개거래,2003,2024,,,개인,개인,신도림동,대림e-편한세상4,3,30,152.07,서울 구로구,646,11530,21,,
"150,000",중개거래,2011,2024,,,개인,개인,신도림동,디큐브시티,3,31,105.45,서울 구로구,692,11530,32,,
"43,500",중개거래,1998,2024,103,24.04.29,개인,개인,구로동,구로두산,3,1,44.64,서울 구로구,1265,11530,18,,
"47,700",중개거래,1998,2024,,,개인,개인,구로동,신안타워,3,1,59.43,서울 구로구,100-8,11530,14,,
"81,500",중개거래,1986,2024,103,24.04.19,개인,개인,구로동,주공1,3,2,84.165,서울 구로구,685-222,11530,12,,
"81,500",중개거래,1994,2024,,,개인,개인,구로동,신도림현대,3,2,80.01,서울 구로구,560,11530,21,,
"40,000",중개거래,1998,2024,,,개인,개인,구로동,구로두산,3,2,44.64,서울 구로구,1265,11530,2,,
"42,000",중개거래,2006,2024,,,개인,개인,구로동,구로두산위브,3,3,36.88,서울 구로구,1278,11530,1,,
"83,000",중개거래,2006,2024,,,개인,개인,구로동,한일유앤아이,3,4,114.722,서울 구로구,1281,11530,20,,
"15,000",중개거래,1996,2024,,,개인,개인,구로동,(799-11),3,4,35.58,서울 구로구,799-11,11530,3,,
"57,500",중개거래,2006,2024,,,개인,개인,구로동,한일유앤아이,3,4,74.229,서울 구로구,1281,11530,4,,
"45,200",중개거래,1988,2024,1,24.03.21,개인,개인,구로동,한신,3,5,44.78,서울 구로구,642-9,11530,9,,
"42,900",중개거래,1998,2024,103,24.04.29,개인,개인,구로동,구로두산,3,5,44.64,서울 구로구,1265,11530,21,,
"15,000",중개거래,2002,2024,,24.03.11,개인,개인,구로동,성호메이플라워멤버스빌,3,5,31.76,서울 구로구,104-9,11530,15,,
"81,000",중개거래,1986,2024,,,개인,개인,구로동,주공1,3,6,84.87,서울 영등포구,685-222,11530,3,,
"43,000",중개거래,1998,2024,,,개인,개인,구로동,구로두산,3,8,44.64,서울 구로구,1265,11530,11,,
"59,500",중개거래,1987,2024,1,24.03.18,개인,개인,구로동,중앙하이츠,3,8,79.97,서울 구로구,685-124,11530,11,,
"49,300",중개거래,1996,2024,,,개인,개인,구로동,새솔금호,3,8,59.9,서울 구로구,108-2,11530,23,,
"23,100",중개거래,1996,2024,,,개인,개인,구로동,(743-55),3,8,58.05,서울 구로구,743-55,11530,3,,
"67,000",중개거래,2002,2024,,,개인,개인,구로동,뉴홍현솔레디움,3,9,84.86,서울 구로구,1270,11530,15,,
"52,300",중개거래,1998,2024,106,24.04.29,개인,개인,구로동,구로두산,3,9,51.84,"서울 구로구, 서울 동작구",1265,11530,24,,
"61,500",중개거래,1998,2024,107,24.04.26,개인,개인,구로동,구로두산,3,9,63.33,서울 구로구,1265,11530,14,,
"42,000",직거래,2002,2024,,24.03.29,개인,개인,구로동,뉴홍현솔레디움,3,9,84.86,,1270,11530,10,,
"37,500",중개거래,1987,2024,,,개인,개인,구로동,현대로얄,3,9,68.63,서울 구로구,701-76,11530,1,,
"39,800",중개거래,1998,2024,101,24.04.17,개인,개인,구로동,구로두산,3,9,44.64,서울 구로구,1265,11530,2,,
"67,800",중개거래,1998,2024,,,개인,개인,구로동,구일우성,3,9,84.49,서울 구로구,1259,11530,7,,
"50,500",중개거래,1998,2024,,,개인,개인,구로동,구일우성,3,9,59.44,서울 구로구,1259,11530,19,,
"99,000",중개거래,2000,2024,,,개인,개인,구로동,신도림태영타운,3,9,84.87,서울 구로구,1267,11530,13,,
"59,800",중개거래,1987,2024,,,개인,개인,구로동,중앙하이츠,3,9,70.52,서울 구로구,685-124,11530,9,24.03.11,O
"59,800",중개거래,1987,2024,,,개인,개인,구로동,중앙하이츠,3,9,70.52,서울 구로구,685-124,11530,9,,
"75,000",중개거래,2000,2024,,,개인,개인,구로동,신도림태영타운,3,9,59.88,서울 구로구,1267,11530,1,,
"62,300",중개거래,1989,2024,,,개인,개인,구로동,현대연예인,3,11,84.91,서울 구로구,685-70,11530,12,24.04.09,O
"62,300",중개거래,1989,2024,,,개인,개인,구로동,현대연예인,3,11,84.91,서울 구로구,685-70,11530,12,,
"15,000",중개거래,1996,2024,,24.04.05,개인,개인,구로동,(740-7),3,12,35.1,서울 구로구,740-7,11530,5,,
"64,800",중개거래,1989,2024,,,개인,개인,구로동,현대연예인,3,12,84.91,서울 구로구,685-70,11530,9,,
"43,500",중개거래,1998,2024,,,개인,개인,구로동,구로두산,3,13,44.64,서울 구로구,1265,11530,14,,
"59,000",중개거래,1998,2024,,,개인,개인,구로동,이화우성,3,13,59.82,서울 구로구,1260,11530,15,,
"44,000",중개거래,1998,2024,,,개인,개인,구로동,구로두산,3,13,44.64,서울 구로구,1265,11530,9,,
"78,000",중개거래,1986,2024,,,개인,개인,구로동,주공1,3,14,83.87,서울 구로구,685-222,11530,3,,
"49,800",중개거래,1989,2024,,,개인,개인,구로동,현대연예인,3,14,54.86,서울 구로구,685-70,11530,9,,
"81,000",중개거래,1986,2024,,,개인,개인,구로동,주공1,3,15,83.805,서울 구로구,685-222,11530,4,,
"14,800",중개거래,2012,2024,,24.04.09,법인,개인,구로동,대림역와이즈플레이스,3,15,24.647,서울 구로구,98-4,11530,14,,
"62,000",중개거래,1994,2024,,,개인,개인,구로동,한국현대,3,15,84.72,서울 구로구,642-39,11530,6,,
"57,000",중개거래,2007,2024,,,개인,개인,구로동,한신휴플러스(1280-0),3,16,50.17,서울 구로구,1280,11530,6,,
"80,500",중개거래,2004,2024,,,개인,개인,구로동,삼성래미안,3,17,78.665,서울 구로구,256-1,11530,24,,
"42,000",중개거래,2006,2024,108,24.03.29,개인,개인,구로동,구로두산위브,3,17,36.88,서울 구로구,1278,11530,10,,
"65,000",중개거래,1987,2024,,,개인,개인,구로동,주공2,3,18,54.54,서울 구로구,685-223,11530,3,24.03.19,O
"89,000",중개거래,2004,2024,,,개인,법인,구로동,삼성래미안,3,18,110.188,서울 구로구,256-1,11530,1,,
"88,000",중개거래,1998,2024,,,개인,개인,구로동,구일우성,3,18,114.47,서울 구로구,1259,11530,10,,
"68,000",중개거래,2007,2024,,,개인,개인,구로동,한신휴플러스(1280-0),3,18,58.03,서울 구로구,1280,11530,12,,
"65,000",중개거래,1987,2024,,,개인,개인,구로동,주공2,3,18,54.54,서울 구로구,685-223,11530,3,,
"24,100",중개거래,1995,2024,,,개인,개인,구로동,(743-52),3,19,59.7,서울 구로구,743-52,11530,4,,
"84,000",중개거래,2004,2024,,,개인,개인,구로동,삼성래미안,3,20,78.665,서울 구로구,256-1,11530,17,,
"49,000",중개거래,1984,2024,1,24.04.17,개인,개인,구로동,극동,3,20,64.02,서울 구로구,314,11530,10,,
"11,000",중개거래,2013,2024,,24.03.27,개인,개인,구로동,그린플러스구로해담채2,3,23,13.23,서울 강동구,104-6,11530,15,,
"61,500",중개거래,1993,2024,,,개인,개인,구로동,우방,3,23,84.9,서울 구로구,642-46,11530,5,,
"51,000",중개거래,1987,2024,,,개인,개인,구로동,현대상선,3,24,64.55,서울 구로구,685-147,11530,5,,
"51,000",중개거래,1987,2024,,,개인,개인,구로동,현대상선,3,24,64.55,서울 구로구,685-147,11530,5,24.04.18,O
"90,000",중개거래,2000,2024,,,개인,개인,구로동,신도림태영타운,3,24,84.87,서울 구로구,1267,11530,1,,
"53,000",중개거래,1998,2024,,,개인,개인,구로동,구로두산,3,24,51.84,서울 구로구,1265,11530,14,,
"63,500",중개거래,1989,2024,,,개인,개인,구로동,현대연예인,3,25,84.91,서울 구로구,685-70,11530,13,,
"43,500",중개거래,1998,2024,,,개인,개인,구로동,구로두산,3,25,44.64,서울 구로구,1265,11530,24,,
"80,000",중개거래,1986,2024,,,개인,개인,구로동,주공1,3,27,83.805,서울 구로구,685-222,11530,2,,
"42,000",중개거래,1998,2024,,,개인,개인,구로동,구로두산,3,27,44.64,서울 구로구,1265,11530,5,,
"81,000",중개거래,1986,2024,,,개인,개인,구로동,주공1,3,27,84.87,서울 구로구,685-222,11530,10,,
"83,500",중개거래,1998,2024,,,개인,개인,구로동,구일우성,3,27,114.47,서울 구로구,1259,11530,17,,
"55,000",중개거래,2004,2024,,24.04.15,개인,개인,구로동,예원아파트,3,28,94.63,서울 구로구,43-2,11530,12,,
"51,000",중개거래,1987,2024,116,24.04.11,개인,개인,구로동,주공2,3,28,41.3,서울 구로구,685-223,11530,11,,
"102,500",중개거래,2000,2024,,,개인,개인,구로동,신도림태영타운,3,28,84.87,서울 구로구,1267,11530,23,,
"50,000",중개거래,1994,2024,,,법인,개인,구로동,현대의보아파트,3,28,83.95,서울 구로구,642-33,11530,5,,
"62,000",중개거래,1989,2024,,,개인,개인,구로동,현대연예인,3,28,84.91,서울 구로구,685-70,11530,3,,
"60,000",중개거래,1998,2024,,,개인,개인,구로동,일신건영,3,28,59.97,서울 구로구,1261,11530,20,,
"108,000",중개거래,1999,2024,111,24.03.29,개인,개인,구로동,신도림롯데아파트,3,28,170.3,서울 구로구,1263,11530,5,,
"62,000",중개거래,2009,2024,,,개인,개인,구로동,대림역경남아너스빌,3,30,71.5141,서울 구로구,1285,11530,8,,
"51,000",중개거래,2003,2024,,,개인,개인,가리봉동,미래하이츠,3,20,96.94,서울 구로구,137-7,11530,7,,
"76,500",중개거래,1999,2024,,,개인,개인,고척동,대우,3,1,114.95,서울 구로구,296,11530,12,,
"42,000",중개거래,2001,2024,203,24.04.23,개인,개인,고척동,삼익(2단지),3,1,59.82,서울 구로구,331,11530,4,,
"48,500",중개거래,1998,2024,,,개인,개인,고척동,경남1,3,1,59.92,서울 구로구,325,11530,16,,
"62,000",직거래,2003,2024,,,개인,개인,고척동,벽산,3,2,84.878,,334,11530,8,,
"65,000",중개거래,1999,2024,,,개인,개인,고척동,대우,3,9,84.98,서울 구로구,296,11530,11,,
"84,000",중개거래,2003,2024,,,개인,개인,고척동,벽산,3,9,84.878,서울 구로구,334,11530,6,,
"88,500",중개거래,2003,2024,,,개인,개인,고척동,벽산,3,11,84.878,서울 구로구,334,11530,13,,
"46,000",중개거래,1999,2024,104,24.04.26,개인,개인,고척동,청구,3,12,59.94,서울 구로구,326,11530,1,,
"60,000",직거래,2023,2024,101동,24.04.15,법인,개인,고척동,더헤리츠,3,12,56,,97,11530,12,,
"52,500",중개거래,1989,2024,,,개인,개인,고척동,서울가든,3,13,64.39,서울 구로구,141-1,11530,8,,
"45,900",중개거래,1999,2024,,,개인,개인,고척동,경남2,3,14,59.96,서울 구로구,306,11530,11,24.03.25,O
"45,900",중개거래,1999,2024,,,개인,개인,고척동,경남2,3,14,59.96,서울 구로구,306,11530,11,,
"69,000",중개거래,2009,2024,,,개인,개인,고척동,고척파크푸르지오,3,14,59.89,서울 양천구,339,11530,1,,
"61,000",중개거래,1989,2024,,,개인,개인,고척동,서울가든,3,15,84.99,서울 구로구,141-1,11530,2,,
"45,800",중개거래,1996,2024,,,개인,개인,고척동,우성꿈동산,3,15,76.76,서울 구로구,321,11530,9,,
"59,000",중개거래,1987,2024,102,24.04.23,개인,개인,고척동,"우성,현대아파트",3,16,68.7,서울 구로구,76-55,11530,3,,
"43,500",중개거래,2000,2024,,,개인,개인,고척동,양우,3,16,59.94,서울 구로구,328,11530,6,,
"43,500",중개거래,2000,2024,,,개인,개인,고척동,양우,3,16,59.94,서울 구로구,328,11530,6,24.03.16,O
"55,000",중개거래,1994,2024,,,개인,개인,고척동,센츄리,3,16,84.56,서울 구로구,320,11530,1,,
"59,000",직거래,2023,2024,,,법인,개인,고척동,더헤리츠,3,17,56,,97,11530,5,,
"43,000",중개거래,1989,2024,,,개인,개인,고척동,서울가든,3,20,54.61,서울 구로구,141-1,11530,4,,
"82,500",중개거래,2004,2024,,,개인,개인,고척동,삼환로즈빌,3,20,84.994,서울 구로구,336,11530,12,,
"69,000",중개거래,1999,2024,,,개인,개인,고척동,대우,3,21,84.99,서울 구로구,296,11530,16,,
"69,000",중개거래,1999,2024,,,개인,개인,고척동,대우,3,21,84.99,서울 구로구,296,11530,16,24.04.01,O
"52,500",중개거래,1999,2024,,,개인,개인,고척동,대우,3,21,59.96,서울 구로구,296,11530,4,,
"52,500",중개거래,1989,2024,,,개인,개인,고척동,서울가든,3,25,64.39,서울 구로구,141-1,11530,7,,
"72,000",중개거래,2011,2024,,,개인,개인,고척동,고척월드메르디앙,3,26,84.93,서울 구로구,343,11530,6,,
"83,000",중개거래,2003,2024,,,개인,개인,고척동,벽산,3,27,84.878,서울 구로구,334,11530,9,,
"57,400",중개거래,2005,2024,,,개인,개인,고척동,한일유앤아이,3,28,59.647,서울 구로구,337,11530,15,,
"48,000",중개거래,1996,2024,,,개인,개인,고척동,우성꿈동산,3,29,80.29,서울 구로구,321,11530,4,,
"23,500",중개거래,1977,2024,,,개인,개인,고척동,산업인,3,29,47.01,서울 구로구,57-9,11530,2,,
"52,600",중개거래,1996,2024,,,개인,개인,고척동,우성꿈동산,3,29,84.3,서울 구로구,321,11530,10,,
"52,300",중개거래,1999,2024,,,개인,개인,고척동,대우,3,30,59.96,서울 구로구,296,11530,15,,
"43,000",중개거래,2002,2024,,,개인,개인,고척동,하이리빙,3,30,79.54,서울 구로구,333,11530,6,,
"77,500",중개거래,2001,2024,,,개인,개인,개봉동,현대홈타운,3,1,84.915,서울 구로구,480,11530,17,24.04.05,O
"63,000",중개거래,1997,2024,101,24.04.05,개인,개인,개봉동,상우,3,1,96.3,서울 강남구,473,11530,23,,
"67,500",중개거래,2001,2024,,,개인,개인,개봉동,현대,3,1,59.94,서울 구로구,481,11530,16,,
"58,500",중개거래,1997,2024,,,개인,개인,개봉동,두산,3,1,84.96,서울 구로구,472,11530,20,,
"71,000",중개거래,2006,2024,103,24.04.12,개인,개인,개봉동,개봉동현대아이파크,3,1,59.99,서울 구로구,489,11530,15,,
"58,500",중개거래,1997,2024,,,개인,개인,개봉동,두산,3,1,84.96,서울 구로구,472,11530,20,24.03.19,O
"58,000",중개거래,2001,2024,,,개인,개인,개봉동,현대홈타운,3,3,59.49,서울 구로구,480,11530,22,,
"60,000",중개거래,1996,2024,,,개인,개인,개봉동,삼호,3,5,84.88,서울 구로구,471,11530,5,,
