거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"12,600",직거래,2018,2024,1동,24.03.13,개인,개인,가산동,가산지웰에스테이트2차,3,8,14.12,,143-6,11545,8,,
"46,000",중개거래,1998,2024,,,개인,개인,독산동,계룡아파트,3,1,59.34,서울 금천구,332-14,11545,5,,
"67,900",중개거래,2019,2024,,,개인,개인,독산동,e편한세상독산더타워,3,1,59.8637,서울 금천구,1007-13,11545,34,,
"104,500",중개거래,2016,2024,104,24.04.11,개인,개인,독산동,금천롯데캐슬골드파크1차,3,1,84.8114,서울 금천구,1147,11545,21,,
"64,700",중개거래,2011,2024,,,개인,개인,독산동,독산동한양수자인,3,1,67.925,서울 금천구,1144,11545,2,,
"59,000",중개거래,2008,2024,101,24.04.19,개인,개인,독산동,이랜드해가든,3,1,84.927,서울 금천구,1143,11545,5,,
"58,500",중개거래,2003,2024,,,개인,개인,독산동,청광플러스원,3,2,84.962,서울 금천구,1139,11545,12,,
"71,300",중개거래,2019,2024,,,개인,개인,독산동,e편한세상독산더타워,3,2,59.8637,서울 금천구,1007-13,11545,35,,
"64,000",중개거래,1991,2024,8,24.04.05,개인,개인,독산동,한신아파트,3,4,89.46,경기 광명시,1093-4,11545,3,,
"36,000",중개거래,1990,2024,,,개인,개인,독산동,독산주공14단지,3,5,38.64,경기 광명시,1088,11545,4,,
"37,000",직거래,2016,2024,,24.04.22,개인,개인,독산동,리버스타운,3,5,54.4,,1006-139,11545,5,,
"57,000",중개거래,2002,2024,,,개인,개인,독산동,금천현대,3,5,84.83,서울 금천구,711-2,11545,1,,
"71,000",중개거래,2004,2024,,,개인,개인,독산동,독산동중앙하이츠빌,3,6,84.8768,서울 금천구,1140,11545,7,,
"105,000",중개거래,2016,2024,,,개인,개인,독산동,금천롯데캐슬골드파크1차,3,7,84.8114,서울 금천구,1147,11545,17,,
"82,900",중개거래,2018,2024,,,개인,개인,독산동,금천롯데캐슬골드파크3차,3,7,59.968,서울 금천구,1155,11545,45,,
"62,000",중개거래,2002,2024,,,개인,개인,독산동,금천현대,3,8,84.83,서울 금천구,711-2,11545,17,,
"63,000",중개거래,2019,2024,102,24.04.09,개인,개인,독산동,e편한세상독산더타워,3,9,59.6222,서울 금천구,1007-13,11545,14,,
"67,500",중개거래,2019,2024,102,24.04.15,개인,개인,독산동,e편한세상독산더타워,3,9,59.6222,서울 금천구,1007-13,11545,10,,
"62,200",중개거래,2011,2024,,,개인,개인,독산동,독산동한양수자인,3,9,68.161,서울 금천구,1144,11545,2,,
"52,500",중개거래,2002,2024,,,개인,개인,독산동,금천현대,3,12,59.82,서울 금천구,711-2,11545,19,,
