거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"39,000",중개거래,1988,2024,2,24.04.18,개인,개인,쌍문동,한양2,3,5,59.67,서울 도봉구,59,11320,6,,
"34,000",중개거래,1988,2024,8,24.03.07,개인,개인,쌍문동,한양2,3,5,59.67,경기 하남시,59,11320,7,,
"39,000",중개거래,1990,2024,,,개인,개인,쌍문동,현대1,3,5,56.7,서울 도봉구,54,11320,15,,
"44,000",중개거래,1995,2024,,,개인,개인,쌍문동,현대3,3,9,84.83,서울 노원구,719,11320,2,,
"51,500",중개거래,1993,2024,,,개인,개인,쌍문동,한양7,3,12,84.86,서울 도봉구,158,11320,13,,
"63,000",중개거래,2007,2024,,,개인,개인,쌍문동,e편한세상,3,12,84.754,서울 도봉구,731,11320,3,,
"52,500",중개거래,1993,2024,,,개인,개인,쌍문동,한양7,3,12,84.86,서울 도봉구,158,11320,15,,
"32,700",중개거래,1988,2024,,,개인,개인,쌍문동,한양2,3,13,48.96,서울 도봉구,59,11320,4,,
"54,000",중개거래,1991,2024,,,개인,개인,쌍문동,금호2,3,13,84.46,서울 도봉구,산69-1,11320,6,,
"27,000",중개거래,1988,2024,,,개인,개인,쌍문동,삼익세라믹,3,14,40.11,서울 도봉구,56,11320,9,,
"31,000",중개거래,1988,2024,,,개인,개인,쌍문동,삼익세라믹,3,14,42.93,서울 도봉구,56,11320,7,,
"71,000",중개거래,2004,2024,,,개인,개인,쌍문동,대우파크힐(쌍문동이안),3,14,126.379,서울 도봉구,730,11320,1,,
"53,500",중개거래,1993,2024,702,24.03.27,개인,개인,쌍문동,한양7,3,14,84.92,서울 도봉구,158,11320,10,,
"46,500",중개거래,1988,2024,,,개인,개인,쌍문동,한양2,3,14,76.92,서울 도봉구,59,11320,11,,
"47,000",중개거래,1991,2024,,,개인,개인,쌍문동,한양5,3,15,76.405,서울 도봉구,59-3,11320,1,,
"48,800",중개거래,1990,2024,,,개인,개인,쌍문동,금호1,3,15,70.13,서울 도봉구,199-1,11320,13,,
"49,900",중개거래,1988,2024,,,개인,개인,쌍문동,삼익세라믹,3,16,79.98,서울 도봉구,56,11320,4,,
"31,000",중개거래,1988,2024,,,개인,개인,쌍문동,삼익세라믹,3,16,42.93,서울 도봉구,56,11320,7,,
"57,000",중개거래,1996,2024,,,기타,개인,쌍문동,청구,3,18,84.63,서울 도봉구,195,11320,13,,
"52,000",중개거래,1988,2024,,,개인,개인,쌍문동,삼익세라믹,3,18,79.98,서울 도봉구,56,11320,5,,
"40,700",중개거래,1991,2024,,,개인,개인,쌍문동,한양5,3,19,65.37,서울 도봉구,59-3,11320,2,,
"37,500",중개거래,1988,2024,,,개인,개인,쌍문동,한양2,3,19,59.67,서울 도봉구,59,11320,15,,
"32,000",중개거래,1988,2024,,,개인,개인,쌍문동,삼익세라믹,3,21,42.93,서울 도봉구,56,11320,10,,
"28,000",중개거래,1989,2024,4,24.03.29,개인,개인,쌍문동,대웅,3,21,55.5,서울 도봉구,13-2,11320,3,,
"40,000",중개거래,2002,2024,,,개인,개인,쌍문동,신일라이프,3,21,59.47,서울 도봉구,726,11320,2,,
"26,600",중개거래,1988,2024,,,개인,개인,쌍문동,삼익세라믹,3,25,40.11,서울 도봉구,56,11320,5,,
"36,500",중개거래,1988,2024,,,개인,개인,쌍문동,삼익세라믹,3,27,58.77,서울 도봉구,56,11320,3,,
"50,000",중개거래,2002,2024,,,개인,개인,쌍문동,한양6,3,28,83.86,서울 도봉구,59-5,11320,6,,
"40,000",중개거래,1981,2024,,,개인,개인,쌍문동,백조,3,29,64.43,서울 도봉구,724,11320,2,,
"53,500",중개거래,1988,2024,,,개인,개인,쌍문동,한양2,3,29,84.9,서울 도봉구,59,11320,12,,
"41,000",중개거래,1987,2024,,,개인,개인,쌍문동,동익미라벨,3,30,84.39,서울 도봉구,285-5,11320,2,24.04.22,O
"41,000",중개거래,1998,2024,,,개인,개인,방학동,벽산아파트2,3,2,59.581,서울 도봉구,496,11320,10,,
"44,000",중개거래,1992,2024,113,24.03.04,개인,개인,방학동,신동아아파트3,3,4,84.86,서울 도봉구,530,11320,3,,
"26,000",중개거래,1988,2024,24,24.04.26,개인,개인,방학동,신동아아파트1,3,4,43.35,서울 도봉구,271-1,11320,8,,
"86,000",직거래,2002,2024,104,24.03.19,개인,개인,방학동,방학동삼성래미안1,3,4,118.381,,720-18,11320,18,,
"99,000",중개거래,2002,2024,,,개인,개인,방학동,방학동삼성래미안1,3,6,134.981,서울 도봉구,720-18,11320,7,,
"34,000",중개거래,2008,2024,,,개인,개인,방학동,태솔에버빌(712-5),3,8,74.66,서울 도봉구,712-5,11320,3,,
"33,000",중개거래,2016,2024,,,개인,개인,방학동,송학휴스테이,3,8,51.021,서울 도봉구,636,11320,6,,
"48,000",중개거래,1993,2024,,,개인,개인,방학동,우성아파트2,3,8,84.98,서울 도봉구,508,11320,11,,
"47,000",직거래,2022,2024,,,법인,개인,방학동,북한산청호아파트,3,9,59.56,,743,11320,1,,
"34,200",중개거래,1992,2024,203,24.04.18,개인,개인,방학동,우성아파트1,3,14,51.91,서울 도봉구,507,11320,2,,
"26,000",중개거래,1988,2024,25,24.03.19,법인,개인,방학동,신동아아파트1,3,15,43.35,서울 도봉구,271-1,11320,10,,
"52,000",중개거래,1986,2024,,,개인,개인,방학동,신동아아파트1,3,19,84.87,서울 도봉구,271-1,11320,5,,
"75,000",중개거래,1994,2024,,,개인,개인,방학동,거성학마을아파트,3,19,134.29,서울 도봉구,701-15,11320,18,,
"47,000",중개거래,1995,2024,,,개인,개인,방학동,신동아아파트4,3,20,84.9,서울 도봉구,732,11320,10,,
"41,700",중개거래,1998,2024,,,개인,개인,방학동,벽산아파트2,3,21,59.581,서울 도봉구,496,11320,14,,
"45,500",중개거래,1995,2024,115,24.04.19,개인,개인,방학동,신동아아파트4,3,21,84.9,서울 도봉구,732,11320,3,,
"60,000",직거래,2005,2024,102,24.03.25,개인,개인,방학동,동부센트레빌아파트,3,21,84.983,,689,11320,4,,
"50,000",중개거래,1995,2024,,,개인,개인,방학동,청구아파트,3,21,84.97,서울 도봉구,734,11320,3,,
"43,500",중개거래,1992,2024,,,개인,개인,방학동,우성아파트1,3,21,72.06,서울 도봉구,507,11320,8,,
"37,500",중개거래,1989,2024,,,개인,개인,방학동,신동아아파트1,3,21,53.16,서울 도봉구,271-1,11320,10,,
"32,600",중개거래,1991,2024,,,개인,개인,방학동,벽산아파트1,3,22,52.36,서울 도봉구,275,11320,1,,
"48,000",중개거래,1995,2024,109,24.04.15,개인,개인,방학동,청구아파트,3,26,84.97,서울 도봉구,734,11320,1,,
"50,000",중개거래,1993,2024,,,개인,개인,방학동,우성아파트2,3,27,84.98,서울 도봉구,508,11320,9,,
"48,400",중개거래,1993,2024,,,개인,개인,방학동,우성아파트2,3,28,84.98,서울 도봉구,508,11320,4,,
"42,600",중개거래,1998,2024,,,개인,개인,방학동,벽산아파트2,3,29,59.581,서울 도봉구,496,11320,3,,
"35,900",중개거래,1991,2024,404동,24.03.15,개인,개인,창동,창동주공4단지,3,1,41.3,서울 도봉구,373,11320,8,,
"45,700",중개거래,1988,2024,1803,24.04.03,개인,개인,창동,창동주공18단지,3,1,45.55,서울 도봉구,30,11320,14,,
"67,000",중개거래,1997,2024,,,개인,개인,창동,동아청솔,3,2,59.76,서울 도봉구,808,11320,20,,
"51,000",중개거래,1990,2024,,,개인,개인,창동,창동주공3단지(해등마을),3,2,49.94,서울 도봉구,347,11320,2,,
"73,000",중개거래,2003,2024,,,개인,개인,창동,태영데시앙,3,2,84.995,서울 도봉구,819,11320,17,,
"87,000",중개거래,2003,2024,,,개인,개인,창동,창동현대4차,3,2,119.4426,서울 도봉구,818,11320,12,,
"54,500",중개거래,1988,2024,,,개인,개인,창동,상아2차아파트,3,4,58.59,서울 도봉구,300,11320,2,,
"75,500",중개거래,2003,2024,,,개인,개인,창동,태영데시앙,3,5,84.995,서울 도봉구,819,11320,17,,
"38,000",중개거래,1997,2024,,,개인,개인,창동,금용,3,6,59.97,서울 도봉구,809,11320,2,,
"68,000",중개거래,1997,2024,,,개인,개인,창동,동아청솔,3,7,59.76,서울 도봉구,808,11320,14,,
"34,000",중개거래,1989,2024,,,개인,개인,창동,주공17단지,3,7,36.34,서울 도봉구,38,11320,14,,
"66,000",중개거래,1997,2024,,,개인,개인,창동,동아청솔,3,9,59.76,서울 도봉구,808,11320,8,,
"86,000",중개거래,1997,2024,,,개인,개인,창동,동아청솔,3,9,84.97,서울 도봉구,808,11320,13,,
"28,000",중개거래,1998,2024,,,개인,개인,창동,신창,3,9,39.6,서울 도봉구,810,11320,5,,
"66,000",중개거래,1997,2024,,,개인,개인,창동,쌍용,3,9,59.88,서울 도봉구,807,11320,12,,
"51,200",중개거래,1990,2024,,,개인,개인,창동,창동주공1단지,3,11,49.94,서울 도봉구,305,11320,2,,
"54,000",중개거래,1995,2024,104,24.04.08,개인,개인,창동,대우,3,11,59.86,경기 광명시,804,11320,12,,
"34,500",중개거래,2003,2024,D.K 포시즌 아파트,24.04.25,개인,개인,창동,DK포시즌,3,11,77.85,서울 도봉구,442-33,11320,2,,
"71,500",중개거래,1992,2024,,,개인,개인,창동,삼성래미안,3,11,66.48,서울 도봉구,45,11320,11,,
"53,000",중개거래,1991,2024,,,개인,개인,창동,창동주공3단지(해등마을),3,12,49.94,서울 도봉구,347,11320,14,,
"65,000",중개거래,1997,2024,,,개인,개인,창동,쌍용,3,13,59.88,서울 도봉구,807,11320,20,,
"72,000",중개거래,1988,2024,,,개인,개인,창동,주공19단지(창동리버타운),3,15,68.86,서울 도봉구,27,11320,7,,
"70,000",중개거래,1995,2024,,,개인,개인,창동,대우,3,16,84.88,서울 도봉구,804,11320,6,,
"54,500",중개거래,1987,2024,,,개인,개인,창동,상아1차아파트,3,18,58.59,서울 도봉구,299,11320,4,24.04.19,O
"43,550",중개거래,1988,2024,,,개인,개인,창동,창동주공18단지,3,18,45.9,서울 도봉구,30,11320,3,,
"43,550",중개거래,1988,2024,,,개인,개인,창동,창동주공18단지,3,18,45.9,서울 도봉구,30,11320,3,24.03.18,O
"43,550",중개거래,1988,2024,,,개인,개인,창동,창동주공18단지,3,18,45.9,서울 도봉구,30,11320,3,24.03.19,O
"75,850",중개거래,1988,2024,,,개인,개인,창동,주공19단지(창동리버타운),3,18,68.86,서울 도봉구,27,11320,2,,
"62,500",중개거래,2009,2024,,,개인,개인,창동,동도센트리움,3,19,79.389,서울 도봉구,827,11320,12,,
"32,000",중개거래,2012,2024,,24.03.22,개인,개인,창동,새로움아파트,3,21,69.25,서울 은평구,731-54,11320,8,,
"71,000",중개거래,1992,2024,,,개인,개인,창동,삼성래미안,3,21,66.48,서울 도봉구,45,11320,9,,
"71,300",중개거래,2001,2024,,,개인,개인,창동,창동2차현대,3,21,84.504,서울 도봉구,815,11320,20,,
"32,000",직거래,1989,2024,1702,24.04.23,개인,개인,창동,주공17단지,3,21,36.16,,38,11320,15,,
"65,500",중개거래,1997,2024,,,개인,개인,창동,쌍용,3,23,59.88,서울 도봉구,807,11320,4,,
