거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"16,500",중개거래,2018,2024,,24.04.01,개인,개인,신설동,포레스트힐시티,3,5,14.75,서울 동대문구,100-26,11230,15,,
"30,700",중개거래,2019,2024,,,개인,개인,용두동,가우디캐슬,3,9,29.98,경기 남양주시,104-34,11230,8,,
"110,000",중개거래,2011,2024,108,24.04.01,개인,개인,용두동,래미안 허브리츠,3,9,84.96,서울 동대문구,792,11230,18,,
"94,000",중개거래,2011,2024,,,개인,개인,용두동,래미안 허브리츠,3,12,59.98,서울 동대문구,792,11230,15,,
"110,000",중개거래,2011,2024,104,24.04.04,개인,개인,용두동,래미안 허브리츠,3,16,84.97,서울 동대문구,792,11230,17,,
"18,500",중개거래,2019,2024,,,개인,개인,용두동,청계한양아이클래스,3,18,14.22,서울 동대문구,255-49,11230,15,,
"42,500",중개거래,2016,2024,,,개인,개인,용두동,동대문푸르지오시티(도시형생활주택),3,21,30.11,서울 동대문구,104-3,11230,20,,
"112,500",중개거래,2021,2024,,,개인,개인,용두동,이편한세상청계센트럴포레,3,22,59.96,서울 동대문구,795,11230,19,,
"117,000",중개거래,2011,2024,,,개인,개인,용두동,래미안 허브리츠,3,23,84.96,서울 동대문구,792,11230,15,,
"115,000",중개거래,2011,2024,102,24.04.05,개인,개인,용두동,래미안 허브리츠,3,26,84.97,서울 동대문구,792,11230,14,,
"129,000",중개거래,2011,2024,,,개인,개인,용두동,래미안 허브리츠,3,30,114.98,서울 동대문구,792,11230,19,,
"59,500",중개거래,1994,2024,,,개인,개인,용두동,신동아,3,30,49.68,서울 동대문구,779,11230,7,,
"59,500",중개거래,1994,2024,,,개인,개인,용두동,신동아,3,30,49.68,서울 동대문구,779,11230,7,24.04.17,O
"17,000",중개거래,2014,2024,,,개인,개인,제기동,어진재,3,5,19.6,서울 동대문구,1213,11230,3,,
"75,900",중개거래,2004,2024,,,개인,개인,제기동,한신아파트,3,6,84.76,서울 동대문구,1212,11230,2,,
"79,000",중개거래,2003,2024,,,개인,개인,제기동,안암골벽산,3,9,84.98,서울 동대문구,153,11230,22,,
"75,000",중개거래,2003,2024,,,개인,개인,제기동,안암골벽산,3,14,84.98,서울 영등포구,153,11230,9,,
"80,000",중개거래,2005,2024,,,개인,개인,제기동,이수브라운스톤,3,22,84.9,서울 동대문구,252,11230,9,,
"81,000",중개거래,2003,2024,,,개인,개인,제기동,안암골벽산,3,27,84.98,서울 동대문구,153,11230,10,,
"97,000",중개거래,2012,2024,,,개인,개인,전농동,래미안아름숲,3,1,84.92,서울 동대문구,688,11230,4,,
"155,000",중개거래,2014,2024,,,개인,개인,전농동,래미안크레시티,3,3,121.98,서울 동대문구,690,11230,8,,
"152,000",중개거래,2014,2024,,,개인,개인,전농동,래미안크레시티,3,4,121.93,서울 동대문구,690,11230,19,,
"90,000",중개거래,1992,2024,15,24.03.08,개인,개인,전농동,전농우성,3,4,126.63,서울 동대문구,6,11230,13,,
"56,000",중개거래,1992,2024,,,개인,개인,전농동,전농우성,3,7,59.78,서울 동대문구,6,11230,3,,
"88,500",중개거래,2000,2024,,,개인,개인,전농동,전농SK,3,12,114.3,서울 동대문구,10,11230,9,,
"100,200",중개거래,2014,2024,304동,24.04.05,개인,개인,전농동,래미안크레시티,3,12,59.99,서울 동대문구,690,11230,12,,
"149,000",중개거래,2014,2024,,,개인,개인,전농동,래미안크레시티,3,13,121.93,서울 동대문구,690,11230,4,,
"94,500",중개거래,2000,2024,,,개인,개인,전농동,전농동삼성래미안,3,13,114.89,서울 동대문구,155,11230,9,,
"82,500",중개거래,1992,2024,,,개인,개인,전농동,전농우성,3,15,126.63,서울 동대문구,6,11230,2,,
"125,000",중개거래,2014,2024,,,개인,개인,전농동,래미안크레시티,3,15,84.96,서울 동대문구,690,11230,4,,
"84,500",중개거래,2000,2024,,,개인,개인,전농동,전농SK,3,16,84.84,서울 동대문구,10,11230,17,,
"66,750",중개거래,1997,2024,,,개인,개인,전농동,동아,3,16,70.03,서울 동대문구,645-2,11230,21,,
"66,700",중개거래,2000,2024,116,24.04.25,개인,개인,전농동,전농SK,3,19,59.34,"서울 강동구, 서울 동대문구",10,11230,7,,
"66,700",중개거래,2000,2024,,,개인,개인,전농동,전농SK,3,19,59.34,서울 동대문구,10,11230,7,24.03.25,O
"101,500",중개거래,2012,2024,,,개인,개인,전농동,래미안아름숲,3,19,84.91,서울 동대문구,688,11230,10,,
"115,900",중개거래,2014,2024,,,개인,개인,전농동,래미안크레시티,3,22,84.96,서울 동대문구,690,11230,10,24.04.29,O
"82,000",중개거래,2000,2024,,,개인,개인,전농동,전농SK,3,22,84.95,서울 동대문구,10,11230,16,,
