거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"118,000",중개거래,1974,2024,,,개인,개인,노량진동,노량진맨션,3,1,93.12,서울 동작구,227-5,11590,2,,
"110,000",중개거래,1997,2024,103,24.04.25,개인,개인,노량진동,우성,3,1,124.77,서울 동작구,323,11590,14,,
"82,500",중개거래,1997,2024,,,개인,개인,노량진동,우성,3,1,59.82,서울 동작구,323,11590,2,,
"101,500",중개거래,2001,2024,,,개인,개인,노량진동,신동아리버파크,3,7,84.88,서울 동작구,325,11590,21,,
"105,000",중개거래,2001,2024,,,개인,개인,노량진동,신동아리버파크,3,9,114.75,서울 동작구,325,11590,22,,
"84,900",중개거래,2001,2024,,,개인,개인,노량진동,신동아리버파크,3,12,59.67,서울 동작구,325,11590,18,,
"90,500",중개거래,1997,2024,,,개인,개인,노량진동,건영(103동-106동),3,13,84.94,서울 동작구,324,11590,4,,
"98,800",중개거래,2001,2024,,,개인,개인,노량진동,신동아리버파크,3,15,84.88,서울 동작구,325,11590,13,,
"83,000",중개거래,1997,2024,,,개인,개인,노량진동,우성,3,16,59.82,서울 동작구,323,11590,8,,
"80,500",중개거래,1997,2024,,,개인,개인,노량진동,우성,3,16,59.82,서울 동작구,323,11590,7,,
"70,800",중개거래,2001,2024,,,개인,개인,노량진동,삼익,3,21,58.96,서울 동작구,330,11590,11,,
"101,000",중개거래,2001,2024,,,개인,개인,노량진동,신동아리버파크,3,26,84.88,서울 동작구,325,11590,18,,
"82,000",중개거래,2001,2024,,,개인,개인,노량진동,신동아리버파크,3,28,59.67,서울 동작구,325,11590,4,,
"82,800",중개거래,2001,2024,,,개인,개인,노량진동,신동아리버파크,3,30,59.67,경기 성남시분당구,325,11590,20,,
"152,000",중개거래,2018,2024,,,개인,개인,상도동,e편한세상상도노빌리티,3,1,84.8746,서울 동작구,903,11590,13,,
"128,000",중개거래,2013,2024,,,개인,개인,상도동,힐스테이트 상도 프레스티지,3,1,84.951,서울 동작구,533,11590,3,,
"119,500",중개거래,2004,2024,306,24.04.22,개인,개인,상도동,래미안상도3차,3,1,84.96,서울 동작구,431,11590,11,,
"127,000",중개거래,2012,2024,102,24.04.19,개인,개인,상도동,힐스테이트 상도 센트럴파크,3,1,84.7835,서울 동작구,531,11590,13,,
