거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"138,100",중개거래,2014,2024,,,개인,개인,아현동,마포래미안푸르지오2단지,3,1,59.9796,서울 마포구,777,11440,5,,
"142,800",중개거래,2014,2024,,,개인,개인,아현동,마포래미안푸르지오3단지,3,2,59.9796,서울 마포구,777,11440,12,,
"101,000",중개거래,2003,2024,,,개인,개인,아현동,삼환나띠르빌,3,5,84.9,서울 마포구,732,11440,13,,
"124,700",중개거래,2008,2024,,,개인,개인,아현동,마포트라팰리스2차,3,7,99.56,서울 마포구,738,11440,20,,
"135,000",중개거래,2014,2024,305,24.04.29,개인,개인,아현동,마포래미안푸르지오3단지,3,14,59.9236,서울 마포구,777,11440,7,,
"139,000",중개거래,2014,2024,,,개인,개인,아현동,마포래미안푸르지오3단지,3,15,59.9452,서울 마포구,777,11440,7,24.04.23,O
"145,000",중개거래,2014,2024,,,개인,개인,아현동,마포래미안푸르지오2단지,3,15,59.9656,서울 마포구,777,11440,7,,
"184,500",중개거래,2014,2024,,,개인,개인,아현동,마포래미안푸르지오2단지,3,17,84.3884,서울 마포구,777,11440,12,,
"200,000",중개거래,2014,2024,,,개인,개인,아현동,마포래미안푸르지오3단지,3,18,114.7267,서울 마포구,777,11440,9,,
"140,000",중개거래,2014,2024,,,개인,개인,아현동,마포래미안푸르지오3단지,3,20,59.9452,서울 마포구,777,11440,17,,
"182,000",중개거래,2014,2024,,,개인,개인,아현동,마포래미안푸르지오2단지,3,21,84.5978,서울 마포구,777,11440,16,,
"136,800",중개거래,2014,2024,,,개인,개인,아현동,마포래미안푸르지오1단지,3,23,59.9236,서울 마포구,777,11440,7,,
"127,000",중개거래,2017,2024,,,개인,개인,아현동,마포센트럴 아이파크,3,25,59.9718,서울 마포구,802,11440,12,,
"180,000",중개거래,2014,2024,212,24.04.01,개인,개인,아현동,마포래미안푸르지오2단지,3,29,84.3884,서울 마포구,777,11440,17,,
"170,000",중개거래,2014,2024,,,개인,개인,아현동,마포래미안푸르지오1단지,3,30,84.5978,서울 마포구,777,11440,12,,
"127,000",중개거래,2014,2024,,,개인,개인,아현동,마포래미안푸르지오3단지,3,30,59.9236,서울 마포구,777,11440,1,,
"132,500",중개거래,2004,2024,,,개인,개인,공덕동,공덕2삼성래미안,3,2,84.94,서울 마포구,43,11440,8,,
"82,000",중개거래,1988,2024,,,개인,개인,공덕동,마포현대,3,3,59.95,서울 마포구,188-108,11440,2,,
"153,000",중개거래,2011,2024,,,개인,개인,공덕동,래미안공덕5차,3,3,84.871,서울 마포구,469,11440,5,,
"132,500",중개거래,2004,2024,,,개인,개인,공덕동,공덕2삼성래미안,3,9,84.94,서울 마포구,43,11440,13,,
"127,000",중개거래,2011,2024,501,24.04.30,개인,개인,공덕동,래미안공덕5차,3,11,59.959,서울 마포구,469,11440,15,,
"117,800",중개거래,2004,2024,,,개인,개인,공덕동,공덕2삼성래미안,3,15,59.97,서울 마포구,43,11440,11,,
"172,000",중개거래,2021,2024,,,개인,개인,공덕동,공덕SK리더스뷰,3,18,84.94,서울 마포구,479,11440,18,,
"173,000",중개거래,2021,2024,,,개인,개인,공덕동,공덕SK리더스뷰,3,19,84.93,서울 마포구,479,11440,19,,
"154,000",중개거래,2011,2024,,,개인,개인,공덕동,래미안공덕5차,3,19,84.871,서울 마포구,469,11440,4,,
"109,000",중개거래,1989,2024,,,개인,개인,공덕동,공덕현대,3,20,84.61,서울 마포구,370-9,11440,14,,
"119,500",중개거래,2005,2024,,,개인,개인,공덕동,래미안공덕4차,3,20,59.9,서울 마포구,464,11440,16,,
"101,000",중개거래,1988,2024,,,개인,개인,공덕동,마포현대,3,20,84.87,서울 마포구,188-108,11440,11,,
"152,000",중개거래,2004,2024,,,개인,개인,공덕동,공덕3삼성래미안,3,22,84.98,서울 마포구,457,11440,16,,
"111,200",중개거래,2005,2024,,,개인,개인,공덕동,래미안공덕4차,3,23,59.9,서울 마포구,464,11440,7,,
"122,000",중개거래,2005,2024,,,개인,개인,공덕동,래미안공덕4차,3,29,59.9,서울 마포구,464,11440,9,,
