거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"54,500",중개거래,2004,2024,,,개인,개인,충정로3가,충정리시온,3,18,45.75,서울 서대문구,465,11410,19,,
"100,000",중개거래,2011,2024,,,개인,개인,냉천동,돈의문센트레빌,3,23,59.98,서울 서대문구,261,11410,9,,
"76,000",중개거래,2006,2024,,,개인,개인,천연동,천연뜨란채,3,19,56.02,서울 서대문구,145,11410,10,,
"113,800",중개거래,1995,2024,,,개인,개인,영천동,독립문삼호,3,23,108.63,서울 서대문구,100,11410,6,,
"108,000",중개거래,1995,2024,,,개인,개인,영천동,독립문삼호,3,23,114.63,서울 서대문구,100,11410,15,,
"90,000",중개거래,1995,2024,,,개인,개인,영천동,독립문삼호,3,30,75.66,서울 서대문구,100,11410,7,,
"85,000",중개거래,1998,2024,,,개인,개인,현저동,독립문극동(200-0),3,26,59.58,서울 광진구,200,11410,9,,
"130,000",중개거래,1998,2024,,,개인,개인,현저동,독립문극동(200-0),3,30,114.51,서울 서대문구,200,11410,6,,
"128,000",중개거래,2018,2024,,,개인,개인,북아현동,e편한세상신촌2단지,3,1,59.85,서울 서대문구,149,11410,7,,
"105,000",중개거래,2020,2024,,,개인,개인,북아현동,힐스테이트신촌,3,2,59.8404,서울 서대문구,1017,11410,8,,
"78,500",중개거래,1999,2024,105,24.04.19,개인,개인,북아현동,두산,3,3,59.96,서울 서대문구,1009,11410,12,,
"96,150",중개거래,1996,2024,101,24.04.18,개인,개인,북아현동,북아현경남,3,8,59.77,서울 서대문구,1006,11410,5,,
"132,000",중개거래,2020,2024,,,개인,개인,북아현동,힐스테이트신촌,3,9,84.9557,서울 서대문구,1017,11410,7,,
"109,000",중개거래,2020,2024,,,개인,개인,북아현동,힐스테이트신촌,3,9,55.9706,서울 서대문구,1017,11410,13,,
