거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"201,000",중개거래,2004,2024,,,개인,개인,방배동,방배3차현대홈타운,3,3,123.345,서울 서초구,2233,11650,10,,
"137,000",중개거래,2002,2024,,,개인,개인,방배동,방배2차상지리츠빌,3,10,163.48,서울 서초구,593-24,11650,5,,
"118,000",중개거래,2003,2024,101,24.04.26,개인,개인,방배동,삼환나띠르빌(1002-22),3,10,92.93,서울 서초구,1002-22,11650,7,,
"141,500",중개거래,1991,2024,,,개인,개인,방배동,방배우성,3,11,84.99,서울 서초구,2525,11650,2,,
"149,000",중개거래,1975,2024,2,24.03.28,개인,개인,방배동,삼호1동~3동,3,14,81.39,서울 서초구,770-1,11650,11,,
"355,000",중개거래,2006,2024,,,개인,개인,방배동,방배3차e-편한세상,3,14,198.5315,서울 서초구,797-30,11650,5,,
"180,000",중개거래,2010,2024,,,개인,개인,방배동,서리풀e편한세상,3,16,59.94,서울 서초구,906-13,11650,2,,
"149,900",중개거래,1999,2024,,,개인,개인,방배동,방배1차현대홈타운,3,16,59.94,서울 서초구,1344,11650,7,,
"141,000",중개거래,1999,2024,,,개인,개인,방배동,방배1차현대홈타운,3,16,59.94,서울 서초구,1344,11650,3,,
"141,500",중개거래,1999,2024,,,개인,개인,방배동,방배1차현대홈타운,3,16,59.94,서울 서초구,1344,11650,3,,
"195,000",중개거래,2001,2024,,,개인,개인,방배동,방배2차현대홈타운,3,16,84.94,서울 동작구,2001,11650,5,,
"195,000",중개거래,2001,2024,,,개인,개인,방배동,방배2차현대홈타운,3,17,84.94,서울 서초구,2001,11650,12,,
"218,000",중개거래,2006,2024,,,개인,개인,방배동,쌍용예가클래식,3,18,155.4471,서울 노원구,776-3,11650,4,,
"265,000",중개거래,1976,2024,,,개인,개인,방배동,삼호2,3,19,177.52,서울 서초구,758-4,11650,10,,
"90,000",중개거래,2002,2024,,,개인,개인,방배동,방배홈타운(479-11),3,21,87.51,서울 서초구,479-11,11650,6,,
"157,000",중개거래,2010,2024,,,개인,개인,방배동,서리풀e편한세상,3,23,59.97,서울 강남구,906-13,11650,3,,
"205,000",중개거래,2001,2024,,,개인,개인,방배동,방배2차현대홈타운,3,24,84.94,서울 서초구,2001,11650,7,,
"245,000",중개거래,1999,2024,,,개인,개인,방배동,방배1차현대홈타운,3,25,134.76,서울 서초구,1344,11650,11,,
"117,000",중개거래,2019,2024,,,개인,개인,방배동,방배 서리풀 그랑블,3,27,49.7792,서울 서초구,3279,11650,5,,
"175,000",중개거래,2019,2024,101동,24.04.11,개인,개인,방배동,방배 서리풀 그랑블,3,28,84.9948,서울 서초구,3279,11650,6,,
"184,000",직거래,1985,2024,5,24.04.12,개인,개인,방배동,임광,3,28,136.38,,1015,11650,7,,
"220,000",중개거래,2021,2024,,,개인,개인,방배동,방배그랑자이,3,29,74.9939,서울 마포구,3283,11650,19,,
"297,000",중개거래,2010,2024,,,개인,개인,방배동,서리풀e편한세상,3,30,121.48,서울 서초구,906-13,11650,6,,
