거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"141,000",중개거래,2014,2024,,,개인,개인,상왕십리동,텐즈힐(2단지),3,1,84.9,서울 성동구,811,11200,11,,
"124,000",중개거래,2014,2024,,,개인,개인,상왕십리동,텐즈힐(2단지),3,1,59.96,서울 성동구,811,11200,10,,
"144,500",중개거래,2014,2024,,,개인,개인,상왕십리동,텐즈힐(2단지),3,2,84.92,서울 성동구,811,11200,4,,
"147,300",중개거래,2014,2024,,,개인,개인,상왕십리동,텐즈힐(2단지),3,9,84.93,서울 성동구,811,11200,18,,
"140,000",중개거래,2014,2024,201,24.04.15,개인,개인,상왕십리동,텐즈힐(2단지),3,11,84.9,서울 성동구,811,11200,11,,
"145,500",중개거래,2014,2024,,,개인,개인,상왕십리동,텐즈힐(2단지),3,12,84.9,서울 성동구,811,11200,21,,
"141,500",중개거래,2014,2024,,,개인,개인,상왕십리동,텐즈힐(2단지),3,17,84.92,서울 성동구,811,11200,5,,
"23,700",중개거래,2019,2024,,24.04.29,개인,개인,상왕십리동,센트럴큐브,3,23,19.42,서울 성동구,12-47,11200,14,,
"143,000",중개거래,2014,2024,,,개인,개인,상왕십리동,텐즈힐(2단지),3,29,84.9,서울 성동구,811,11200,17,,
"133,100",중개거래,2014,2024,,,개인,개인,상왕십리동,텐즈힐(2단지),3,30,84.92,서울 강남구,811,11200,7,,
"120,000",중개거래,2014,2024,,,개인,개인,상왕십리동,텐즈힐(2단지),3,30,84.92,서울 강남구,811,11200,7,24.04.03,O
"121,500",중개거래,2016,2024,,,개인,개인,하왕십리동,센트라스,3,1,59.95,서울 성동구,1070,11200,17,,
"96,500",중개거래,2016,2024,,,개인,개인,하왕십리동,왕십리KCC스위첸,3,1,64.244,서울 성동구,1002,11200,8,,
"196,000",중개거래,2015,2024,,,개인,개인,하왕십리동,텐즈힐(1단지),3,1,129.34,서울 성동구,1066,11200,19,,
"113,000",중개거래,2016,2024,,,개인,개인,하왕십리동,왕십리KCC스위첸,3,2,84.897,서울 성동구,1002,11200,16,,
"143,000",중개거래,2015,2024,,,개인,개인,하왕십리동,텐즈힐(1단지),3,2,84.96,서울 성동구,1066,11200,1,,
"123,000",중개거래,1996,2024,,,개인,개인,하왕십리동,벽산,3,5,114.46,서울 도봉구,258,11200,11,,
"151,500",중개거래,2015,2024,,,개인,개인,하왕십리동,텐즈힐(1단지),3,8,84.96,서울 성동구,1066,11200,8,,
"146,500",중개거래,2015,2024,,,개인,개인,하왕십리동,텐즈힐(1단지),3,9,84.96,서울 성동구,1066,11200,25,,
"105,500",중개거래,2001,2024,,,개인,개인,하왕십리동,한진해모로,3,11,112.26,서울 성동구,1050,11200,21,,
"170,000",중개거래,2016,2024,,,개인,개인,하왕십리동,센트라스,3,12,84.98,서울 성동구,1070,11200,18,,
"108,000",중개거래,2017,2024,104,24.04.04,개인,개인,하왕십리동,왕십리자이,3,16,59.99,서울 성동구,1071,11200,4,,
"149,000",중개거래,2015,2024,,,개인,개인,하왕십리동,텐즈힐(1단지),3,16,84.92,서울 성동구,1066,11200,10,,
"147,500",중개거래,2015,2024,,,개인,개인,하왕십리동,텐즈힐(1단지),3,17,84.88,서울 성동구,1066,11200,5,,
"184,000",중개거래,2015,2024,,,개인,개인,하왕십리동,텐즈힐(1단지),3,17,129.34,서울 성동구,1066,11200,6,,
"156,500",중개거래,2016,2024,,,개인,개인,하왕십리동,센트라스,3,20,84.99,서울 성동구,1070,11200,19,,
"167,000",중개거래,2016,2024,,,개인,개인,하왕십리동,센트라스,3,21,84.99,서울 성동구,1070,11200,7,,
"166,500",중개거래,2016,2024,,,개인,개인,하왕십리동,센트라스,3,21,84.99,서울 성동구,1070,11200,21,,
"167,000",중개거래,2016,2024,,,개인,개인,하왕십리동,센트라스,3,21,84.96,서울 서대문구,1070,11200,14,,
"82,300",중개거래,1996,2024,,,개인,개인,하왕십리동,무학현대,3,22,84.495,서울 성동구,992,11200,12,,
"83,000",중개거래,2016,2024,,,개인,개인,하왕십리동,센트라스,3,23,40.94,서울 성동구,1070,11200,14,24.04.13,O
"113,500",중개거래,2017,2024,,,개인,개인,하왕십리동,왕십리자이,3,23,59.99,서울 성동구,1071,11200,19,,
"83,000",중개거래,2016,2024,,,개인,개인,하왕십리동,센트라스,3,23,40.94,서울 성동구,1070,11200,14,,
"106,250",중개거래,1996,2024,,,개인,개인,하왕십리동,벽산,3,23,84.94,서울 성동구,258,11200,15,,
"97,800",중개거래,2016,2024,101,24.03.29,개인,개인,하왕십리동,왕십리KCC스위첸,3,23,64.236,서울 성동구,1002,11200,9,,
"111,000",중개거래,2017,2024,,,개인,개인,하왕십리동,왕십리자이,3,25,59.99,서울 성동구,1071,11200,11,,
"105,500",중개거래,2004,2024,,,개인,개인,하왕십리동,왕십리풍림아이원,3,25,84.417,서울 성동구,1061,11200,10,,
"125,000",중개거래,2017,2024,,,개인,개인,하왕십리동,왕십리자이,3,25,84.99,서울 성동구,1071,11200,11,,
"108,000",중개거래,2017,2024,,,개인,개인,하왕십리동,왕십리자이,3,26,59.99,서울 성동구,1071,11200,4,,
"112,000",중개거래,2017,2024,,,개인,개인,하왕십리동,왕십리자이,3,27,59.99,서울 성동구,1071,11200,17,,
"79,500",중개거래,1996,2024,,,개인,개인,하왕십리동,무학현대,3,27,84.495,서울 성동구,992,11200,3,,
"110,000",직거래,2016,2024,103,24.04.04,개인,개인,하왕십리동,왕십리KCC스위첸,3,28,84.897,,1002,11200,6,,
"98,000",중개거래,2016,2024,,,개인,개인,하왕십리동,왕십리KCC스위첸,3,30,64.244,서울 성동구,1002,11200,11,,
"149,500",중개거래,2015,2024,,,개인,개인,하왕십리동,텐즈힐(1단지),3,30,84.88,서울 성동구,1066,11200,2,,
"113,000",중개거래,2017,2024,,,개인,개인,하왕십리동,왕십리자이,3,30,59.99,서울 성동구,1071,11200,20,,
"180,000",중개거래,2016,2024,,,개인,개인,하왕십리동,센트라스,3,31,84.77,서울 성동구,1070,11200,18,,
"83,700",중개거래,1996,2024,,,개인,개인,마장동,삼성,3,9,59.76,서울 성동구,817,11200,4,,
"79,700",중개거래,1998,2024,,,개인,개인,마장동,현대,3,9,59.94,서울 성동구,818,11200,13,,
