거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"54,000",중개거래,1998,2024,,,개인,개인,돈암동,한진(609-1),3,1,59.58,서울 성북구,609-1,11290,6,,
"72,000",중개거래,2006,2024,,,개인,개인,돈암동,돈암동더샵아파트,3,1,84.817,서울 성북구,603,11290,11,,
"43,000",중개거래,1991,2024,101,24.03.15,개인,개인,돈암동,돈암현대아파트,3,3,41.58,서울 성북구,1,11290,11,,
"57,500",중개거래,1998,2024,107,24.03.22,개인,개인,돈암동,한신,3,3,68.13,서울 성북구,609-1,11290,4,,
"61,000",중개거래,2005,2024,106,24.03.11,개인,개인,돈암동,일신건영휴먼빌아파트,3,4,59.52,서울 성북구,524,11290,11,,
"67,000",중개거래,2006,2024,,,개인,개인,돈암동,돈암동더샵아파트,3,5,84.817,서울 성북구,603,11290,2,,
"105,000",중개거래,2016,2024,,,개인,개인,돈암동,돈암코오롱하늘채,3,5,84.8778,서울 성북구,644,11290,15,,
"46,000",중개거래,1991,2024,,,개인,개인,돈암동,돈암현대아파트,3,7,41.58,"서울 강남구, 서울 성북구",1,11290,10,,
"70,000",직거래,1999,2024,105,24.03.29,개인,개인,돈암동,돈암동삼성,3,7,84.59,,15-1,11290,15,,
"75,500",중개거래,1998,2024,,,개인,개인,돈암동,한진(609-1),3,8,84.87,서울 성북구,609-1,11290,10,,
"70,800",중개거래,1998,2024,,,개인,개인,돈암동,범양,3,9,84.92,서울 성북구,631,11290,18,,
"50,000",중개거래,1998,2024,,,개인,개인,돈암동,한진(609-1),3,10,59.58,서울 성북구,609-1,11290,2,,
"50,000",직거래,1998,2024,211동,24.03.22,개인,개인,돈암동,한진(609-1),3,10,84.87,,609-1,11290,17,,
"70,500",중개거래,1998,2024,,,개인,개인,돈암동,한진(609-1),3,11,84.87,서울 성북구,609-1,11290,4,,
"83,000",중개거래,2005,2024,104,24.04.08,개인,개인,돈암동,일신건영휴먼빌아파트,3,13,117.16,서울 성북구,524,11290,1,,
"78,500",직거래,1998,2024,108,24.03.29,개인,개인,돈암동,한신,3,15,132.96,,609-1,11290,5,,
"58,000",중개거래,1999,2024,,,법인,개인,돈암동,돈암동삼성,3,16,59.4,서울 성북구,15-1,11290,12,,
"66,500",중개거래,1998,2024,,,개인,개인,돈암동,한진(609-1),3,19,84.87,서울 성북구,609-1,11290,1,,
"95,000",중개거래,2016,2024,101,24.04.17,개인,개인,돈암동,돈암코오롱하늘채,3,19,84.9594,서울 성북구,644,11290,4,,
"63,800",중개거래,1998,2024,,,개인,개인,돈암동,한신,3,19,68.13,서울 성북구,609-1,11290,9,,
"73,000",중개거래,1998,2024,,,개인,개인,돈암동,한진(609-1),3,23,84.87,서울 성북구,609-1,11290,16,,
"52,700",중개거래,1998,2024,,,개인,개인,돈암동,한진(609-1),3,23,59.58,서울 성북구,609-1,11290,15,,
"70,000",중개거래,1999,2024,,,개인,개인,돈암동,돈암동삼성,3,23,84.59,서울 성북구,15-1,11290,17,,
"68,000",중개거래,1998,2024,,,개인,개인,돈암동,범양,3,23,84.92,서울 성북구,631,11290,2,,
"78,500",중개거래,2013,2024,,,개인,개인,돈암동,돈암동해피트리,3,23,84.98,서울 성북구,642,11290,2,,
"70,800",중개거래,2006,2024,,,개인,개인,돈암동,돈암동더샵아파트,3,23,84.817,서울 성북구,603,11290,4,,
"57,900",중개거래,1999,2024,,,개인,개인,돈암동,돈암동삼성,3,24,59.4,서울 성북구,15-1,11290,4,,
"54,000",중개거래,1998,2024,,,개인,개인,돈암동,한진(609-1),3,25,59.58,서울 성북구,609-1,11290,8,,
"92,000",중개거래,1998,2024,,,개인,개인,돈암동,한신,3,26,152.25,서울 성북구,609-1,11290,5,,
