거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"231,000",중개거래,2008,2024,,,개인,개인,잠실동,잠실엘스,3,1,84.8,서울 송파구,19,11710,18,,
"183,000",중개거래,2007,2024,,,개인,개인,잠실동,트리지움,3,1,59.88,서울 송파구,35,11710,17,,
"197,000",중개거래,2008,2024,,,개인,개인,잠실동,리센츠,3,1,59.99,경기 수원시영통구,22,11710,12,,
"124,000",중개거래,1990,2024,,,개인,개인,잠실동,현대,3,1,71.9,서울 송파구,331,11710,5,,
"236,000",중개거래,2008,2024,158,24.03.07,개인,개인,잠실동,잠실엘스,3,2,84.8,서울 강남구,19,11710,28,,
"227,000",중개거래,2008,2024,,,개인,개인,잠실동,잠실엘스,3,2,84.8,서울 송파구,19,11710,22,,
"90,000",중개거래,2017,2024,,,개인,개인,잠실동,한영해시안아파트,3,4,63.65,서울 송파구,239-6,11710,4,,
"237,500",중개거래,2008,2024,,,개인,개인,잠실동,리센츠,3,4,84.99,서울 송파구,22,11710,20,,
"230,000",중개거래,2008,2024,,,개인,개인,잠실동,잠실엘스,3,4,84.8,서울 송파구,19,11710,13,,
"237,500",중개거래,2008,2024,,,개인,개인,잠실동,리센츠,3,5,84.99,"경기 하남시, 서울 송파구",22,11710,13,,
"219,000",중개거래,2007,2024,316,24.04.30,개인,개인,잠실동,트리지움,3,6,84.83,서울 송파구,35,11710,13,,
"282,600",중개거래,1978,2024,,,개인,개인,잠실동,주공아파트 5단지,3,6,82.51,서울 송파구,27,11710,9,,
"232,000",중개거래,2008,2024,,,개인,개인,잠실동,잠실엘스,3,7,84.8,서울 송파구,19,11710,18,,
"229,000",중개거래,2008,2024,,,개인,개인,잠실동,잠실엘스,3,9,84.8,서울 송파구,19,11710,6,,
"93,000",중개거래,2008,2024,,,개인,개인,잠실동,리센츠,3,9,27.68,서울 송파구,22,11710,22,,
"215,000",중개거래,2007,2024,,,개인,개인,잠실동,트리지움,3,9,84.95,서울 송파구,35,11710,22,,
"240,000",중개거래,2008,2024,,,개인,개인,잠실동,잠실엘스,3,9,84.8,서울 송파구,19,11710,23,,
"247,800",중개거래,1978,2024,,,개인,개인,잠실동,주공아파트 5단지,3,11,76.5,서울 송파구,27,11710,7,,
"225,000",중개거래,2007,2024,,,개인,개인,잠실동,트리지움,3,13,84.95,서울 송파구,35,11710,20,,
"247,800",중개거래,1978,2024,,,개인,개인,잠실동,주공아파트 5단지,3,13,76.5,서울 송파구,27,11710,9,,
"217,000",중개거래,2008,2024,,,개인,개인,잠실동,잠실엘스,3,13,84.88,서울 송파구,19,11710,3,,
"188,000",중개거래,2007,2024,,,개인,개인,잠실동,트리지움,3,14,59.88,서울 송파구,35,11710,8,,
"181,000",중개거래,2007,2024,,,개인,개인,잠실동,트리지움,3,14,59.88,서울 송파구,35,11710,2,,
"179,800",중개거래,2006,2024,,,개인,개인,잠실동,레이크팰리스,3,14,59.97,서울 송파구,44,11710,17,,
"247,800",중개거래,1978,2024,,,개인,개인,잠실동,주공아파트 5단지,3,14,76.5,서울 송파구,27,11710,14,,
"164,000",중개거래,1983,2024,,,개인,개인,잠실동,우성4차,3,14,95.84,서울 송파구,320,11710,6,,
"230,000",중개거래,2008,2024,,,개인,개인,잠실동,잠실엘스,3,14,84.8,서울 송파구,19,11710,20,,
"225,000",중개거래,2008,2024,,,개인,개인,잠실동,잠실엘스,3,14,84.8,서울 송파구,19,11710,11,,
