거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"49,500",중개거래,2000,2024,,,개인,개인,신정동,학마을1단지,3,1,49.99,서울 양천구,1293,11470,8,,
"154,000",중개거래,1987,2024,,,개인,개인,신정동,목동신시가지9,3,1,71.37,서울 양천구,312,11470,2,,
"98,000",중개거래,2000,2024,,,개인,개인,신정동,신정6현대,3,1,114.8,서울 양천구,743-2,11470,10,,
"71,000",중개거래,2011,2024,,,개인,개인,신정동,이펜하우스3단지,3,1,59.93,서울 양천구,1316,11470,8,,
"146,800",중개거래,1988,2024,1433,24.04.29,개인,개인,신정동,목동신시가지14,3,2,74.19,서울 양천구,329,11470,3,,
"113,000",중개거래,1997,2024,,,개인,개인,신정동,목동현대3차,3,2,71.16,서울 양천구,1279,11470,7,,
"59,000",중개거래,2004,2024,,24.03.29,개인,개인,신정동,신일해피트리,3,4,84.98,서울 양천구,1219-1,11470,9,,
"135,000",중개거래,1987,2024,,,개인,개인,신정동,목동신시가지13,3,5,70.73,서울 양천구,327,11470,14,,
"104,000",중개거래,2000,2024,,,개인,개인,신정동,목동우성2,3,5,113.91,서울 양천구,337,11470,15,,
"56,000",중개거래,2003,2024,,,개인,개인,신정동,동국화이트빌B동,3,5,84.65,서울 양천구,879-5,11470,3,,
"64,000",중개거래,2000,2024,,,개인,개인,신정동,신정6현대,3,5,59.4,서울 양천구,743-2,11470,5,,
"49,400",중개거래,2000,2024,,,개인,개인,신정동,학마을1단지,3,7,49.99,서울 양천구,1293,11470,13,,
"90,500",중개거래,1995,2024,101,24.04.25,개인,개인,신정동,현대,3,8,84.84,서울 양천구,1252,11470,18,,
"106,000",중개거래,1997,2024,,,개인,개인,신정동,목동현대3차,3,8,71.16,서울 양천구,1279,11470,15,,
"154,000",중개거래,2016,2024,101,24.04.04,개인,개인,신정동,목동힐스테이트,3,9,84.98,서울 양천구,1323,11470,5,,
"47,900",중개거래,2003,2024,,,개인,개인,신정동,동림,3,9,74.01,서울 양천구,1019-4,11470,2,,
"108,500",중개거래,1988,2024,,,개인,개인,신정동,목동신시가지11,3,9,51.48,서울 양천구,325,11470,11,,
"123,700",중개거래,2016,2024,,,개인,개인,신정동,목동힐스테이트,3,9,59.95,서울 양천구,1323,11470,16,,
"133,500",중개거래,1988,2024,1423,24.04.22,개인,개인,신정동,목동신시가지14,3,9,71.4,서울 양천구,329,11470,20,,
"80,000",중개거래,2006,2024,,,개인,개인,신정동,동원로데오,3,10,84.2,서울 양천구,1308,11470,4,,
"90,000",중개거래,2000,2024,,,개인,개인,신정동,신트리3,3,11,84.8,서울 양천구,1276,11470,5,,
"44,500",중개거래,2001,2024,,,개인,개인,신정동,푸른마을2,3,13,49.16,서울 양천구,1281,11470,2,,
"141,500",중개거래,1987,2024,,,개인,개인,신정동,목동신시가지13,3,13,70.73,서울 영등포구,327,11470,6,,
"120,500",중개거래,1988,2024,,,개인,개인,신정동,목동신시가지12,3,14,53.46,서울 양천구,326,11470,3,,
"189,000",중개거래,1987,2024,,,개인,개인,신정동,목동신시가지9,3,15,106.93,서울 양천구,312,11470,14,,
"117,800",중개거래,2022,2024,,,개인,개인,신정동,호반써밋목동,3,15,84.9735,서울 양천구,1327,11470,2,,
"74,500",중개거래,2002,2024,,,개인,개인,신정동,푸른마을4,3,15,84.99,서울 양천구,1285,11470,4,,
"49,500",중개거래,2000,2024,,,개인,개인,신정동,학마을1단지,3,15,49.99,서울 양천구,1293,11470,6,,
"52,500",중개거래,2001,2024,,,개인,개인,신정동,푸른마을3,3,15,59.99,서울 양천구,1283,11470,4,,
"125,000",중개거래,1987,2024,,,개인,개인,신정동,목동신시가지8,3,16,54.94,서울 양천구,314,11470,5,,
"149,500",중개거래,1987,2024,,,개인,개인,신정동,목동신시가지9,3,16,71.37,서울 양천구,312,11470,14,,
"142,000",중개거래,1988,2024,,,개인,개인,신정동,목동신시가지12,3,16,71.64,서울 양천구,326,11470,8,,
"157,500",중개거래,2016,2024,,,개인,개인,신정동,목동힐스테이트,3,16,84.93,서울 양천구,1323,11470,15,,
"109,000",중개거래,1988,2024,,,개인,개인,신정동,목동신시가지11,3,16,51.48,서울 양천구,325,11470,4,,
"59,000",중개거래,2002,2024,,,개인,개인,신정동,팰리스필,3,18,80.11,서울 양천구,872-6,11470,1,,
"100,000",직거래,1997,2024,106,24.03.19,개인,개인,신정동,목동현대3차,3,18,84.77,,1279,11470,16,,
"87,500",중개거래,1992,2024,,,개인,개인,신정동,대림,3,18,84.89,서울 양천구,333,11470,2,,
"125,000",중개거래,2016,2024,,,개인,개인,신정동,목동힐스테이트,3,19,59.95,서울 양천구,1323,11470,18,,
"125,000",중개거래,1987,2024,,,개인,개인,신정동,목동신시가지8,3,20,54.94,서울 은평구,314,11470,1,,
"120,000",중개거래,1996,2024,,,개인,개인,신정동,목동삼성,3,21,84.77,서울 양천구,1278,11470,22,,
"140,000",중개거래,1988,2024,,,개인,개인,신정동,목동신시가지12,3,21,71.64,서울 양천구,326,11470,12,,
"118,000",중개거래,1987,2024,,,개인,개인,신정동,목동신시가지14,3,21,55.02,"경기 고양시일산동구, 서울 양천구",329,11470,8,,
"55,700",중개거래,2000,2024,,,개인,개인,신정동,신트리4,3,22,48.96,서울 양천구,1277,11470,13,,
"86,900",중개거래,2000,2024,,,개인,개인,신정동,목동우성2,3,22,84.96,서울 양천구,337,11470,13,,
"60,000",중개거래,1999,2024,,,개인,개인,신정동,신트리1,3,23,49.95,서울 양천구,1259,11470,13,,
"134,500",중개거래,1997,2024,,,개인,개인,신정동,목동현대3차,3,23,84.77,서울 양천구,1279,11470,11,,
"71,000",중개거래,2001,2024,,,개인,개인,신정동,푸른마을3,3,25,84.93,서울 양천구,1283,11470,7,,
"57,000",중개거래,2000,2024,,,개인,개인,신정동,신트리4,3,25,49.8,서울 양천구,1277,11470,7,,
"61,000",중개거래,1999,2024,,,개인,개인,신정동,신트리1,3,26,49.95,서울 양천구,1259,11470,4,,
"212,000",중개거래,1987,2024,,,개인,개인,신정동,목동신시가지10,3,27,127.21,서울 양천구,311,11470,8,,
"73,000",중개거래,2000,2024,,,개인,개인,신정동,신정6현대,3,28,84.6,서울 양천구,743-2,11470,3,,
"169,000",중개거래,1988,2024,,,개인,개인,신정동,목동신시가지14,3,29,83.89,서울 양천구,329,11470,18,,
"106,100",중개거래,2021,2024,,,개인,개인,신정동,래미안목동아델리체(119동~123동),3,29,59.82,서울 양천구,1326,11470,13,,
"139,000",중개거래,2021,2024,,,개인,개인,신정동,래미안목동아델리체(101동~118동),3,29,84.94,서울 양천구,1326,11470,11,,
"41,000",중개거래,1987,2024,,,개인,개인,신정동,수정,3,29,48.87,서울 양천구,733-31,11470,2,,
"48,250",중개거래,2004,2024,,,개인,개인,신정동,대성유니드1차,3,30,59.87,서울 양천구,1198-23,11470,15,,
"150,000",중개거래,1987,2024,,,개인,개인,신정동,목동신시가지9,3,30,71.37,서울 양천구,312,11470,11,,
"140,000",중개거래,2021,2024,,,개인,개인,신정동,래미안목동아델리체(101동~118동),3,30,84.95,서울 양천구,1326,11470,21,,
"123,000",중개거래,2016,2024,,,개인,개인,신정동,목동힐스테이트,3,30,59.95,서울 양천구,1323,11470,6,,
"86,500",중개거래,2001,2024,,,개인,개인,목동,월드메르디앙,3,1,84.1969,서울 양천구,750-5,11470,3,,
"245,000",중개거래,2006,2024,,,개인,개인,목동,하이페리온2,3,1,136.082,서울 양천구,961,11470,6,,
"44,000",중개거래,2019,2024,,,개인,개인,목동,목동에버하임,3,2,41.06,서울 양천구,966,11470,11,,
"75,000",중개거래,1999,2024,,24.04.25,개인,개인,목동,목동성원초원,3,2,59.9,서울 양천구,751-4,11470,12,,
"62,500",중개거래,2000,2024,,,개인,개인,목동,성원2,3,2,59.9,서울 양천구,709-2,11470,10,,
"198,000",중개거래,1986,2024,,,개인,개인,목동,목동신시가지3,3,2,95.74,서울 양천구,903,11470,5,,
"72,000",중개거래,2002,2024,105,24.04.25,개인,개인,목동,목동금호베스트빌,3,4,58.86,서울 양천구,549,11470,6,,
"154,000",중개거래,1986,2024,,,개인,개인,목동,목동신시가지2,3,4,65.25,서울 양천구,902,11470,6,,
"178,000",중개거래,2000,2024,,,개인,개인,목동,부영3,3,6,140.52,서울 양천구,908-34,11470,14,,
"265,000",중개거래,2006,2024,,,개인,개인,목동,하이페리온2,3,6,136.081,서울 양천구,961,11470,38,,
"120,000",중개거래,2005,2024,,,개인,개인,목동,롯데캐슬위너,3,6,84.99,서울 양천구,956,11470,18,,
"56,500",중개거래,2000,2024,,,개인,개인,목동,삼도,3,6,79.71,서울 동작구,315-3,11470,7,,
"125,500",중개거래,1992,2024,,,개인,개인,목동,우성,3,7,84.44,서울 양천구,200,11470,7,,
"55,000",중개거래,2006,2024,101,24.04.17,개인,개인,목동,정은스카이빌(959),3,7,68.18,서울 용산구,959,11470,2,,
"235,000",중개거래,2006,2024,201,24.03.22,개인,개인,목동,하이페리온2,3,8,119.523,서울 양천구,961,11470,14,,
"62,900",중개거래,2006,2024,,,개인,개인,목동,신한이모르젠,3,9,84.77,서울 양천구,960,11470,5,,
"100,000",중개거래,2003,2024,,,개인,개인,목동,세종그랑시아,3,11,111.1,서울 양천구,722-5,11470,14,,
"42,250",중개거래,1996,2024,,24.04.19,개인,개인,목동,목화,3,11,59.83,서울 양천구,736-4,11470,2,,
"86,000",중개거래,1997,2024,,,개인,개인,목동,삼익,3,11,59.87,서울 양천구,933,11470,2,,
"195,000",중개거래,1985,2024,,,개인,개인,목동,목동신시가지1,3,11,90.06,서울 양천구,901,11470,5,,
"170,000",중개거래,2015,2024,101,24.03.13,개인,개인,목동,목동센트럴푸르지오,3,12,84.9808,서울 양천구,404-13,11470,17,,
"152,500",중개거래,1986,2024,,,개인,개인,목동,목동신시가지2,3,12,65.25,서울 양천구,902,11470,5,,
"247,000",중개거래,2006,2024,,,개인,개인,목동,하이페리온2,3,12,119.523,서울 양천구,961,11470,12,,
"212,000",중개거래,1986,2024,,,개인,개인,목동,목동신시가지5,3,13,95.28,서울 양천구,912,11470,15,,
"193,000",중개거래,2000,2024,,,개인,개인,목동,부영3,3,13,157.29,서울 양천구,908-34,11470,15,,
"275,000",중개거래,2006,2024,,,개인,개인,목동,하이페리온2,3,14,155.586,서울 양천구,961,11470,24,,
"104,500",중개거래,1997,2024,,,개인,개인,목동,금호1,3,14,59.88,서울 양천구,934,11470,6,,
"260,000",직거래,2006,2024,203,24.03.15,개인,개인,목동,하이페리온2,3,14,191.088,,961,11470,32,,
"156,000",중개거래,1986,2024,,,개인,개인,목동,목동신시가지2,3,14,65.25,서울 양천구,902,11470,5,,
"235,000",중개거래,1986,2024,,,개인,개인,목동,목동신시가지2,3,16,122.31,서울 양천구,902,11470,5,,
"143,500",중개거래,2000,2024,,,개인,개인,목동,목동트윈빌,3,16,108.06,서울 양천구,905-22,11470,13,,
"240,000",중개거래,2006,2024,,,개인,개인,목동,하이페리온2,3,16,119.369,서울 양천구,961,11470,24,,
"248,000",중개거래,2006,2024,,,개인,개인,목동,하이페리온2,3,17,119.523,서울 양천구,961,11470,5,,
"104,000",중개거래,2019,2024,,,개인,개인,목동,목동롯데캐슬마에스트로,3,19,59.9846,서울 양천구,965,11470,14,,
"115,000",중개거래,2019,2024,,,개인,개인,목동,목동롯데캐슬마에스트로,3,20,84.9779,서울 양천구,965,11470,6,,
"198,500",중개거래,2015,2024,,,개인,개인,목동,목동센트럴푸르지오,3,21,110.3387,서울 양천구,404-13,11470,13,,
"154,500",중개거래,1997,2024,,,개인,개인,목동,목동청구한신아파트,3,21,84.76,서울 양천구,929,11470,9,,
"182,000",중개거래,1986,2024,,,개인,개인,목동,목동신시가지7,3,21,66.6,서울 양천구,925,11470,13,,
"175,000",중개거래,1986,2024,,,개인,개인,목동,목동신시가지5,3,22,65.08,서울 양천구,912,11470,7,,
"138,000",중개거래,1988,2024,,,개인,개인,목동,목동신시가지7,3,22,53.88,서울 양천구,925,11470,11,,
"202,000",중개거래,2015,2024,,,개인,개인,목동,목동센트럴푸르지오,3,22,110.3387,서울 양천구,404-13,11470,11,,
"73,000",중개거래,2003,2024,,,개인,개인,목동,세종그랑시아,3,23,59.03,서울 양천구,722-5,11470,4,,
"112,000",중개거래,2019,2024,,,개인,개인,목동,목동롯데캐슬마에스트로,3,26,84.9779,서울 양천구,965,11470,6,,
"173,000",중개거래,2015,2024,,,개인,개인,목동,목동센트럴푸르지오,3,27,84.9914,서울 양천구,404-13,11470,10,,
"109,000",중개거래,1997,2024,,,개인,개인,목동,금호1,3,30,59.88,서울 양천구,934,11470,3,,
"148,000",중개거래,1997,2024,,,개인,개인,목동,목동청구한신아파트,3,30,84.76,서울 양천구,929,11470,8,,
"58,000",중개거래,1997,2024,,,개인,개인,신월동,우당,3,1,83.43,서울 양천구,506-1,11470,4,24.03.06,O
"58,000",중개거래,1997,2024,,,개인,개인,신월동,우당,3,1,83.43,서울 양천구,506-1,11470,4,,
"74,000",중개거래,2020,2024,209,24.03.29,개인,개인,신월동,목동센트럴아이파크위브2단지,3,1,52.85,서울 양천구,1076,11470,15,,
"38,000",중개거래,1997,2024,,,개인,개인,신월동,나산,3,2,59.9,서울 양천구,217-2,11470,11,,
"104,000",중개거래,2020,2024,,,개인,개인,신월동,목동센트럴아이파크위브4단지,3,5,84.98,서울 양천구,1078,11470,15,,
"59,000",중개거래,2006,2024,,,개인,개인,신월동,정은스카이빌(1044),3,6,79.96,서울 양천구,1044,11470,9,,
"91,000",중개거래,2012,2024,,,개인,개인,신월동,신정두산위브,3,7,84.22,서울 양천구,1055,11470,18,,
"70,000",중개거래,2010,2024,,,개인,개인,신월동,롯데캐슬(1057-0),3,7,70.61,서울 양천구,1057,11470,4,,
"81,000",중개거래,2014,2024,,,개인,개인,신월동,롯데캐슬,3,7,59.747,서울 양천구,1063,11470,20,,
"60,000",중개거래,1988,2024,,,개인,개인,신월동,신월시영,3,8,59.49,서울 양천구,987-1,11470,11,,
"24,000",직거래,1998,2024,,24.03.08,개인,개인,신월동,수명,3,8,78.86,,12-4,11470,1,,
"89,500",중개거래,2020,2024,,,개인,개인,신월동,목동센트럴아이파크위브2단지,3,8,59.97,서울 양천구,1076,11470,8,,
"49,250",중개거래,2006,2024,,,개인,개인,신월동,정은스카이빌(1044),3,8,67.42,서울 양천구,1044,11470,10,,
"60,000",중개거래,2005,2024,,,개인,개인,신월동,삼정그린뷰,3,8,74.36,서울 양천구,1041,11470,3,,
"105,000",중개거래,2020,2024,,,개인,개인,신월동,목동센트럴아이파크위브4단지,3,9,84.98,서울 양천구,1078,11470,13,,
"89,500",중개거래,2014,2024,,,개인,개인,신월동,롯데캐슬,3,9,84.984,서울 양천구,1063,11470,10,,
"101,500",중개거래,2020,2024,,,개인,개인,신월동,목동센트럴아이파크위브3단지,3,9,84.98,서울 양천구,1077,11470,14,,
"58,000",중개거래,2006,2024,,,개인,개인,신월동,양천벽산블루밍2단지,3,9,59.98,서울 양천구,1027,11470,12,,
"105,000",중개거래,2020,2024,,,개인,개인,신월동,목동센트럴아이파크위브4단지,3,9,84.97,서울 양천구,1078,11470,7,,
"53,000",중개거래,2005,2024,,,개인,개인,신월동,신월6차보람,3,9,59.232,서울 양천구,125,11470,3,,
"86,400",중개거래,2020,2024,,,개인,개인,신월동,목동센트럴아이파크위브3단지,3,10,59.88,서울 양천구,1077,11470,6,,
"61,000",중개거래,1988,2024,,,개인,개인,신월동,신월시영,3,11,59.49,서울 양천구,987-1,11470,3,,
"30,700",중개거래,2006,2024,,24.04.19,개인,개인,신월동,강국,3,11,60.35,서울 양천구,24-5,11470,1,,
"97,300",중개거래,2014,2024,,,개인,개인,신월동,롯데캐슬,3,11,84.966,서울 양천구,1063,11470,10,,
"81,300",중개거래,2014,2024,,,개인,개인,신월동,롯데캐슬,3,16,59.747,서울 양천구,1063,11470,10,,
"74,000",중개거래,2003,2024,,,개인,개인,신월동,벽산블루밍2단지,3,16,84.9285,서울 양천구,1023,11470,15,,
"74,000",중개거래,2010,2024,,,개인,개인,신월동,롯데캐슬(1057-0),3,16,70.91,서울 양천구,1057,11470,15,,
"105,000",중개거래,2020,2024,,,개인,개인,신월동,목동센트럴아이파크위브1단지,3,17,84.97,서울 양천구,1075,11470,7,,
"66,000",중개거래,2006,2024,,,개인,개인,신월동,양천벽산블루밍1단지,3,18,84.77,서울 양천구,1026,11470,10,,
"59,900",중개거래,1988,2024,20,24.04.24,개인,개인,신월동,신월시영,3,19,59.49,서울 양천구,987-1,11470,5,,
"82,800",중개거래,2010,2024,,,개인,개인,신월동,롯데캐슬(1057-0),3,20,84.94,서울 양천구,1057,11470,8,,
"92,600",중개거래,2020,2024,,,개인,개인,신월동,목동센트럴아이파크위브3단지,3,20,84.98,서울 양천구,1077,11470,1,,
"44,500",중개거래,2003,2024,,,개인,개인,신월동,대방샤인힐,3,21,59.648,서울 양천구,1017,11470,4,,
"63,300",중개거래,2005,2024,,,개인,개인,신월동,삼정그린뷰,3,21,84.14,서울 양천구,1041,11470,8,,
"45,000",중개거래,1988,2024,,,개인,개인,신월동,신월시영,3,23,43.2,서울 양천구,987-1,11470,11,,
"30,000",중개거래,2006,2024,,,개인,개인,신월동,주함헤븐103동,3,23,73.88,경기 광명시,203-14,11470,5,,
"105,000",중개거래,2020,2024,,,개인,개인,신월동,목동센트럴아이파크위브4단지,3,23,84.98,서울 양천구,1078,11470,15,,
"75,000",중개거래,2003,2024,,,개인,개인,신월동,벽산블루밍1단지,3,23,84.0145,서울 양천구,1022,11470,7,,
