거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"105,000",중개거래,2002,2024,,,개인,개인,영등포동,영등포푸르지오,3,2,79.777,서울 영등포구,647,11560,10,,
"90,000",중개거래,2002,2024,,,개인,개인,영등포동,영등포푸르지오,3,7,59.912,서울 영등포구,647,11560,8,,
"102,200",중개거래,2002,2024,,,개인,개인,영등포동,영등포푸르지오,3,7,84.908,서울 영등포구,647,11560,19,,
"108,000",중개거래,2002,2024,,,개인,개인,영등포동,영등포푸르지오,3,8,84.84,서울 영등포구,647,11560,21,,
"78,000",중개거래,2004,2024,,,개인,개인,영등포동,두산위브,3,9,59.8,서울 영등포구,649,11560,11,,
"102,000",중개거래,2002,2024,,,개인,개인,영등포동,영등포푸르지오,3,11,73.133,서울 영등포구,647,11560,9,,
"97,000",중개거래,2002,2024,,,개인,개인,영등포동,영등포푸르지오,3,18,79.777,서울 영등포구,647,11560,5,,
"100,000",중개거래,2002,2024,,,개인,개인,영등포동,영등포푸르지오,3,19,73.133,서울 영등포구,647,11560,23,,
"78,000",중개거래,2004,2024,101,24.04.04,개인,개인,영등포동,두산위브,3,24,59.8,서울 영등포구,649,11560,12,,
"69,000",중개거래,2002,2024,,,개인,개인,영등포동,순영웰라이빌,3,29,84.88,서울 영등포구,648,11560,12,,
"90,500",중개거래,2002,2024,,,개인,개인,영등포동,영등포푸르지오,3,29,59.912,서울 영등포구,647,11560,20,,
"10,600",중개거래,2012,2024,,24.03.29,개인,개인,영등포동1가,내이처해밀,3,25,14.89,서울 영등포구,145,11560,4,,
"15,500",직거래,2013,2024,,24.03.22,개인,개인,영등포동2가,이지리움S,3,21,13.35,,28-117,11560,11,,
"157,000",중개거래,2017,2024,,,개인,개인,영등포동7가,아크로타워스퀘어,3,8,84.65,서울 영등포구,203,11560,17,,
"119,500",중개거래,2017,2024,,,개인,개인,영등포동7가,아크로타워스퀘어,3,8,59.7,서울 영등포구,203,11560,5,,
"125,700",중개거래,1998,2024,,,개인,개인,영등포동7가,경남아너스빌,3,9,114.77,서울 영등포구,46-1,11560,13,,
"85,800",중개거래,1998,2024,,,개인,개인,영등포동7가,경남아너스빌,3,9,59.9,서울 영등포구,46-1,11560,7,,
"149,000",중개거래,2004,2024,104,24.03.14,개인,개인,영등포동8가,당산푸르지오,3,12,133.34,서울 영등포구,91,11560,3,,
"88,500",중개거래,1999,2024,,,개인,개인,영등포동8가,삼환,3,23,59.91,서울 영등포구,76-1,11560,18,,
"123,000",중개거래,2004,2024,,,개인,개인,영등포동8가,당산푸르지오,3,26,84.98,서울 영등포구,91,11560,10,,
"230,000",중개거래,1976,2024,,,개인,개인,여의도동,삼부,3,7,77.69,서울 영등포구,30-2,11560,12,,
"249,000",중개거래,1978,2024,,,개인,개인,여의도동,광장,3,8,116.53,서울 영등포구,28,11560,9,,
"210,000",중개거래,1976,2024,,,개인,개인,여의도동,삼부,3,9,77.69,서울 영등포구,30-2,11560,9,,
"91,500",중개거래,1971,2024,,,개인,개인,여의도동,순복음(초원),3,9,66.94,서울 영등포구,11-1,11560,1,,
"275,000",중개거래,1975,2024,,,개인,개인,여의도동,삼부,3,18,135.8,서울 영등포구,30-2,11560,7,,
"310,000",중개거래,1978,2024,,,개인,개인,여의도동,장미,3,19,194.98,서울 영등포구,40,11560,14,,
"320,000",중개거래,1975,2024,에프,24.04.05,개인,개인,여의도동,한양,3,20,192.73,서울 영등포구,42,11560,8,,
"228,000",중개거래,1975,2024,,,개인,개인,여의도동,한양,3,20,109.42,서울 영등포구,42,11560,12,,
"241,300",중개거래,1976,2024,,,개인,개인,여의도동,수정,3,20,150.65,서울 영등포구,32,11560,13,,
"318,000",중개거래,1977,2024,,,개인,개인,여의도동,삼부,3,26,146.68,서울 영등포구,30-2,11560,1,,
"93,000",중개거래,1994,2024,,,개인,개인,당산동2가,당산2가현대홈타운,3,1,82.77,서울 영등포구,164,11560,2,,
"38,000",중개거래,1999,2024,101,24.04.25,개인,개인,당산동2가,당산대우,3,6,32.62,서울 영등포구,16-1,11560,25,,
"103,500",중개거래,1994,2024,,,개인,개인,당산동2가,당산2가현대홈타운,3,7,82.77,서울 영등포구,164,11560,15,,
"35,000",중개거래,1999,2024,,,개인,개인,당산동2가,당산대우,3,8,31.73,서울 영등포구,16-1,11560,8,,
"102,500",중개거래,1994,2024,,,개인,개인,당산동2가,당산2가현대홈타운,3,9,82.77,서울 영등포구,164,11560,17,,
"104,000",중개거래,1994,2024,,,개인,개인,당산동2가,당산2가현대홈타운,3,10,82.77,서울 영등포구,164,11560,5,,
"37,150",중개거래,1999,2024,,,개인,개인,당산동2가,당산대우,3,20,32.62,서울 영등포구,16-1,11560,24,,
"105,000",중개거래,1994,2024,104,24.04.12,개인,개인,당산동2가,당산2가현대홈타운,3,22,82.77,서울 영등포구,164,11560,19,,
"61,500",중개거래,2014,2024,,,개인,개인,당산동3가,당산계룡리슈빌2단지,3,3,38.77,서울 영등포구,566,11560,15,,
"63,000",중개거래,2014,2024,102,24.03.21,개인,개인,당산동3가,당산계룡리슈빌1단지,3,4,42.294,서울 영등포구,564,11560,4,,
"125,000",중개거래,2003,2024,,,개인,개인,당산동3가,동부센트레빌,3,8,114.96,서울 영등포구,561,11560,8,,
"128,000",중개거래,2003,2024,,,개인,개인,당산동3가,동부센트레빌,3,12,114.96,서울 영등포구,561,11560,18,,
"95,500",중개거래,1986,2024,,,개인,개인,당산동3가,당산한양,3,17,84.93,서울 영등포구,2-6,11560,9,,
"107,500",중개거래,2003,2024,,,개인,개인,당산동3가,동부센트레빌,3,21,82.19,서울 영등포구,561,11560,6,,
"74,000",중개거래,2014,2024,,,개인,개인,당산동3가,당산계룡리슈빌3단지,3,25,49.993,서울 영등포구,565,11560,10,,
"72,000",중개거래,2014,2024,,,개인,개인,당산동3가,당산계룡리슈빌2단지,3,28,47.25,서울 영등포구,566,11560,9,,
"124,000",중개거래,2003,2024,,,개인,개인,당산동3가,동부센트레빌,3,29,114.96,서울 영등포구,561,11560,14,,
