거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"200,000",중개거래,2013,2024,,,개인,개인,동자동,센트레빌아스테리움서울,3,27,149.05,서울 용산구,45,11170,18,,
"50,000",직거래,2021,2024,,24.03.28,개인,개인,원효로1가,시온캐슬용산,3,20,23.673,,28-7,11170,14,,
"103,000",중개거래,2001,2024,,,개인,개인,산천동,리버힐삼성,3,9,59.55,서울 용산구,193,11170,10,,
"77,500",중개거래,2001,2024,,,개인,개인,산천동,한강타운,3,23,59.69,서울 마포구,204,11170,1,,
"189,000",중개거래,2005,2024,,,개인,개인,원효로4가,한강수,3,18,217.49,서울 용산구,128-1,11170,6,,
"92,000",직거래,1971,2024,,,법인,개인,원효로4가,풍전,3,19,81.72,,109-4,11170,5,,
"216,000",중개거래,1977,2024,에이,24.04.16,개인,개인,원효로4가,산호,3,31,86.12,서울 용산구,118-16,11170,6,,
"145,000",중개거래,2018,2024,,,개인,개인,효창동,용산케이씨씨스위첸,3,11,84.91,서울 용산구,286,11170,4,,
"166,000",중개거래,2010,2024,,,개인,개인,효창동,효창파크푸르지오,3,16,84.45,서울 용산구,274,11170,21,,
"121,000",중개거래,2010,2024,,,개인,개인,효창동,효창파크푸르지오,3,18,59.41,서울 용산구,274,11170,13,,
"84,500",중개거래,1987,2024,,,개인,개인,효창동,효창한신,3,23,60.4,서울 마포구,5-145,11170,3,,
"112,500",중개거래,2006,2024,,,개인,개인,효창동,세양청마루,3,30,84.18,서울 마포구,268,11170,11,,
"149,500",중개거래,2001,2024,,,개인,개인,도원동,삼성래미안,3,25,114.99,서울 용산구,23,11170,17,,
"108,000",중개거래,2001,2024,,,개인,개인,도원동,삼성래미안,3,25,59.94,서울 용산구,23,11170,15,,
"115,000",중개거래,2001,2024,,,개인,개인,도원동,삼성래미안,3,27,84.69,서울 용산구,23,11170,2,,
"101,000",중개거래,2011,2024,,,개인,개인,용문동,브라운스톤,3,16,59.94,서울 용산구,90,11170,3,,
"104,500",중개거래,2005,2024,,,개인,개인,문배동,이안용산1차(102동),3,2,84.22,서울 용산구,7-6,11170,2,,
"89,000",중개거래,2005,2024,,,법인,개인,문배동,이안용산1차(103동),3,12,56.83,서울 용산구,11-29,11170,2,,
"171,000",중개거래,2011,2024,,,개인,개인,신계동,용산e편한세상,3,15,84.89,서울 용산구,48,11170,7,,
"176,000",중개거래,2011,2024,,,개인,개인,신계동,용산e편한세상,3,23,84.21,서울 용산구,48,11170,21,,
"247,500",중개거래,2020,2024,105,24.04.01,개인,개인,한강로3가,센트럴파크,3,9,92.7398,인천 남동구,98,11170,24,,
"272,000",중개거래,2020,2024,,,개인,개인,한강로3가,센트럴파크,3,13,102.8617,서울 용산구,98,11170,17,,
"272,000",중개거래,2020,2024,,,개인,개인,한강로3가,센트럴파크,3,13,102.8617,서울 용산구,98,11170,17,24.04.24,O
"417,500",중개거래,1971,2024,,,개인,개인,이촌동,한강맨숀,3,1,120.56,서울 용산구,300-23,11170,1,,
"158,300",중개거래,1998,2024,,,개인,개인,이촌동,한가람,3,2,59.88,서울 용산구,404,11170,18,,
"379,940",중개거래,1971,2024,,,개인,개인,이촌동,한강맨숀,3,5,101.95,서울 용산구,300-23,11170,3,,
"153,700",중개거래,1999,2024,,,개인,개인,이촌동,이촌코오롱(A),3,5,59.82,서울 용산구,412,11170,18,,
"92,000",중개거래,1999,2024,,,개인,개인,이촌동,동아그린,3,6,43.02,서울 용산구,411,11170,20,,
"67,900",직거래,1999,2024,104,24.03.28,개인,개인,이촌동,동아그린,3,8,59.58,,411,11170,22,,
"141,700",중개거래,1997,2024,101,24.03.28,개인,개인,이촌동,현대한강,3,9,59.55,서울 용산구,400,11170,7,,
"165,000",중개거래,1975,2024,,,개인,개인,이촌동,현대맨숀,3,9,83.3,서울 용산구,301-162,11170,4,,
"140,000",중개거래,1999,2024,,,개인,개인,이촌동,동아그린,3,9,84.82,서울 용산구,411,11170,19,,
"140,000",중개거래,1999,2024,101,24.04.12,개인,개인,이촌동,동아그린,3,9,84.82,서울 용산구,411,11170,7,,
"164,000",중개거래,1998,2024,,,개인,개인,이촌동,한가람,3,10,59.88,서울 용산구,404,11170,14,,
"200,000",중개거래,1998,2024,,,개인,개인,이촌동,한가람,3,11,84.89,서울 용산구,404,11170,7,,
"159,700",중개거래,1998,2024,,,개인,개인,이촌동,한가람,3,12,59.88,서울 용산구,404,11170,21,,
"160,000",중개거래,1998,2024,,,개인,개인,이촌동,한가람,3,12,59.88,서울 용산구,404,11170,8,,
"399,995",중개거래,2015,2024,,,개인,개인,이촌동,래미안첼리투스,3,13,124.02,서울 용산구,436,11170,19,,
"399,995",중개거래,2015,2024,,,개인,개인,이촌동,래미안첼리투스,3,13,124.02,서울 용산구,436,11170,19,24.04.11,O
"150,000",중개거래,1999,2024,,,개인,개인,이촌동,이촌코오롱(A),3,14,59.82,서울 용산구,412,11170,10,,
"434,998",중개거래,2015,2024,,,개인,개인,이촌동,래미안첼리투스,3,15,124.35,서울 용산구,436,11170,33,,
