거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"90,000",중개거래,2021,2024,,,개인,개인,수색동,DMC롯데캐슬더퍼스트,3,9,59.96,서울 은평구,417,11380,11,,
"57,500",중개거래,2003,2024,,,개인,개인,수색동,진흥엣세벨,3,11,57.5033,서울 은평구,416-1,11380,3,,
"59,000",중개거래,2003,2024,,,개인,개인,수색동,e편한세상 수색 에코포레,3,12,59.895,서울 은평구,415-1,11380,9,,
"65,500",중개거래,2003,2024,107,24.04.26,개인,개인,수색동,e편한세상 수색 에코포레,3,14,84.951,서울 은평구,415-1,11380,1,,
"60,200",중개거래,2003,2024,,,개인,개인,수색동,e편한세상 수색 에코포레,3,17,59.895,서울 은평구,415-1,11380,15,,
"90,000",중개거래,2021,2024,,,개인,개인,수색동,DMC롯데캐슬더퍼스트,3,20,59.96,서울 은평구,417,11380,9,,
"55,000",중개거래,1987,2024,에이,24.04.26,개인,개인,수색동,"수정가,나동",3,25,65.34,서울 은평구,17-9,11380,5,,
"85,000",직거래,2000,2024,103,24.04.03,개인,개인,수색동,청구,3,26,84.76,,413,11380,2,,
"89,800",중개거래,2021,2024,,,개인,개인,수색동,DMC롯데캐슬더퍼스트,3,28,59.96,서울 은평구,417,11380,15,,
"89,000",중개거래,2021,2024,,,개인,개인,수색동,DMC롯데캐슬더퍼스트,3,30,59.96,서울 은평구,417,11380,6,,
"62,800",중개거래,1993,2024,,,개인,개인,녹번동,대림아파트(276),3,2,84.68,서울 은평구,276,11380,3,,
"71,000",직거래,2001,2024,,,개인,개인,녹번동,녹번2현대,3,4,84.94,,278-1,11380,7,24.04.08,O
"79,000",중개거래,2019,2024,113동,24.04.17,개인,개인,녹번동,힐스테이트녹번,3,8,49.948,서울 은평구,282,11380,1,,
"91,000",중개거래,2019,2024,,,개인,개인,녹번동,힐스테이트녹번,3,13,59.9,서울 은평구,282,11380,2,,
"70,500",중개거래,1993,2024,1,24.04.05,개인,개인,녹번동,대림아파트(276),3,14,84.94,서울 은평구,276,11380,2,,
"109,000",중개거래,2019,2024,,,개인,개인,녹번동,래미안베라힐즈,3,14,84.93,서울 은평구,283,11380,2,,
"93,000",중개거래,2019,2024,,,개인,개인,녹번동,힐스테이트녹번,3,16,59.9,서울 은평구,282,11380,18,,
"80,000",중개거래,2001,2024,,,개인,개인,녹번동,녹번2현대,3,16,117.35,서울 은평구,278-1,11380,8,,
"113,000",중개거래,2019,2024,,,개인,개인,녹번동,래미안베라힐즈,3,16,84.93,서울 은평구,283,11380,7,,
"115,000",중개거래,2019,2024,,,개인,개인,녹번동,래미안베라힐즈,3,17,84.93,서울 은평구,283,11380,14,,
"38,000",중개거래,2008,2024,,,개인,개인,녹번동,송학파크팰리스,3,18,56.12,서울 은평구,83-47,11380,3,,
"38,000",중개거래,2008,2024,,,개인,개인,녹번동,송학파크팰리스,3,18,56.12,서울 은평구,83-47,11380,3,24.03.27,O
"38,000",중개거래,2008,2024,,,개인,개인,녹번동,송학파크팰리스,3,18,56.12,서울 은평구,83-47,11380,3,24.03.29,O
"100,000",중개거래,2015,2024,,,개인,개인,녹번동,북한산푸르지오,3,19,84.99,서울 은평구,281,11380,15,,
"108,000",중개거래,2019,2024,201동,24.04.17,개인,개인,녹번동,래미안베라힐즈,3,23,84.95,서울 은평구,283,11380,16,,
"111,500",중개거래,2019,2024,,,개인,개인,녹번동,래미안베라힐즈,3,23,84.93,서울 은평구,283,11380,3,,
"56,500",중개거래,2002,2024,,,개인,개인,녹번동,녹번JR아파트,3,29,59.866,서울 은평구,280-1,11380,8,,
"93,500",중개거래,2004,2024,,,개인,개인,불광동,북한산현대홈타운,3,5,114.9984,서울 은평구,633,11380,1,,
"73,500",중개거래,2009,2024,,,개인,개인,불광동,북한산힐스테이트1차아파트,3,5,59.817,서울 은평구,635,11380,10,,
