거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"173,500",중개거래,2008,2024,,,개인,개인,사직동,광화문스페이스본(101동~105동),3,9,131.44,서울 종로구,9,11110,9,,
"42,500",중개거래,2003,2024,,,개인,개인,익선동,현대뜨레비앙,3,4,48.54,서울 종로구,55,11110,7,,
"40,500",중개거래,2003,2024,현대뜨레비앙,24.03.29,개인,개인,익선동,현대뜨레비앙,3,12,43.98,서울 종로구,55,11110,5,,
"122,000",중개거래,1995,2024,,,개인,개인,명륜2가,아남1,3,1,84.9,서울 종로구,4,11110,8,,
"124,000",중개거래,1995,2024,,,개인,개인,명륜2가,아남1,3,3,84.9,서울 종로구,4,11110,18,,
"106,000",중개거래,1995,2024,,,개인,개인,명륜2가,아남1,3,15,84.9,서울 종로구,4,11110,4,,
"120,500",중개거래,1995,2024,,,개인,개인,명륜2가,아남1,3,28,84.9,서울 종로구,4,11110,10,,
"127,000",중개거래,1995,2024,,,개인,개인,명륜2가,아남1,3,29,84.9,서울 종로구,4,11110,11,,
"57,500",중개거래,1992,2024,,,개인,개인,창신동,창신쌍용1,3,23,54.7,서울 종로구,702,11110,3,,
"57,300",중개거래,1993,2024,,,개인,개인,창신동,창신쌍용2,3,25,64.66,서울 종로구,703,11110,14,,
"61,850",중개거래,1993,2024,,,개인,개인,창신동,창신쌍용2,3,29,115.53,서울 강동구,703,11110,9,,
"59,300",중개거래,1992,2024,,,개인,개인,창신동,창신쌍용1,3,30,54.7,서울 종로구,702,11110,8,,
"79,700",중개거래,2008,2024,,,법인,개인,숭인동,종로센트레빌,3,5,59.92,서울 종로구,2-1,11110,10,,
"96,000",중개거래,2008,2024,,,개인,개인,숭인동,종로센트레빌,3,29,84.92,서울 종로구,2-1,11110,5,,
"79,000",중개거래,2009,2024,,,개인,개인,숭인동,종로청계힐스테이트,3,29,59.9426,서울 종로구,766,11110,3,,
"146,000",중개거래,2017,2024,,,개인,개인,평동,경희궁자이(3단지),3,12,59.7547,서울 종로구,233,11110,2,,
"193,000",중개거래,2017,2024,205,24.04.02,개인,개인,홍파동,경희궁자이(2단지),3,9,84.9895,서울 종로구,199,11110,15,,
"153,000",중개거래,2017,2024,,,개인,개인,홍파동,경희궁자이(2단지),3,14,59.8655,서울 종로구,199,11110,7,,
"104,000",중개거래,2017,2024,,,개인,개인,교북동,경희궁자이(4단지),3,13,45.879,서울 종로구,126,11110,16,,
"220,000",중개거래,2009,2024,,,개인,법인,평창동,롯데캐슬로잔,3,8,219.775,서울 종로구,108,11110,3,,
"128,950",중개거래,2000,2024,,,개인,개인,무악동,현대,3,16,114.9,서울 종로구,82,11110,15,,
"118,000",중개거래,2015,2024,,,개인,개인,무악동,인왕산2차아이파크,3,18,84.0283,서울 종로구,88,11110,11,,
"102,000",중개거래,2008,2024,,,개인,개인,무악동,인왕산아이파크,3,20,59.993,서울 종로구,60,11110,10,,
"91,470",중개거래,2000,2024,,,개인,개인,무악동,현대,3,23,60,서울 종로구,82,11110,7,,
"138,450",중개거래,2000,2024,,,개인,개인,무악동,현대,3,25,114.9,서울 종로구,82,11110,12,,
"180,000",중개거래,2008,2024,,,개인,개인,무악동,인왕산아이파크,3,26,157.289,서울 종로구,60,11110,13,,
"145,000",중개거래,2019,2024,,,개인,개인,무악동,경희궁롯데캐슬,3,27,84.8792,서울 종로구,89,11110,4,,
"149,000",중개거래,2019,2024,103동,24.04.24,개인,개인,무악동,경희궁롯데캐슬,3,29,84.8792,서울 종로구,89,11110,4,,
