거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"24,000",중개거래,2018,2024,충무로 헤센 스마트,24.04.17,개인,개인,충무로5가,충무로헤센스마트,3,1,19.76,서울 중구,90,11140,5,,
"25,400",중개거래,2018,2024,,,개인,개인,충무로5가,충무로헤센스마트,3,21,21.04,서울 중구,90,11140,7,,
"47,000",중개거래,2018,2024,충무로 헤센 스마트,24.03.29,개인,개인,충무로5가,충무로헤센스마트,3,26,40.65,서울 마포구,90,11140,7,,
"43,000",중개거래,1968,2024,,,개인,개인,인현동2가,인현상가/신성아파트,3,4,48.56,서울 중구,192-30,11140,10,,
"49,500",직거래,2023,2024,101,24.03.27,개인,개인,인현동2가,세운푸르지오헤리시티,3,22,28.4064,,240,11140,17,,
"50,500",중개거래,1981,2024,,,개인,개인,묵정동,묵정,3,24,52.46,서울 중구,11-67,11140,8,,
"140,000",직거래,1993,2024,,24.04.12,개인,개인,장충동1가,장충레지던스,3,6,156.08,,106-1,11140,5,,
"150,000",직거래,2011,2024,,,개인,개인,신당동,청구e편한세상,3,2,84.96,,852,11140,7,24.03.29,O
"150,000",직거래,2011,2024,,,개인,개인,신당동,청구e편한세상,3,2,118.47,,852,11140,5,24.03.29,O
"75,000",중개거래,1999,2024,112,24.04.05,개인,개인,신당동,삼성,3,6,59.98,서울 성동구,843,11140,1,,
"101,000",중개거래,2002,2024,,,개인,개인,신당동,남산타운,3,9,59.94,서울 중구,844,11140,11,,
"77,700",중개거래,1999,2024,,,개인,개인,신당동,약수하이츠,3,11,57.63,서울 중구,842,11140,5,,
"71,000",중개거래,2002,2024,,,개인,개인,신당동,청구드림,3,11,84.94,서울 중구,290-90,11140,1,,
"125,400",중개거래,2002,2024,,,개인,개인,신당동,남산타운,3,11,84.88,서울 중구,844,11140,10,,
"129,000",중개거래,2002,2024,,,개인,개인,신당동,남산타운,3,12,114.88,서울 중구,844,11140,2,,
"156,700",중개거래,2002,2024,,,개인,개인,신당동,남산타운,3,12,114.88,서울 중구,844,11140,14,,
"120,000",중개거래,2002,2024,,,개인,개인,신당동,남산타운,3,13,84.88,서울 중구,844,11140,6,,
"124,000",중개거래,2002,2024,,,개인,법인,신당동,남산타운,3,14,84.88,서울 중구,844,11140,10,,
"87,500",중개거래,1999,2024,,,개인,개인,신당동,삼성,3,16,59.98,서울 중구,843,11140,5,,
"24,000",중개거래,2016,2024,,,개인,개인,신당동,신당역솔하임,3,16,16.37,서울 중구,140-23,11140,19,,
