거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"104,000",중개거래,2020,2024,103동,24.03.14,개인,개인,면목동,쌍용더플래티넘용마산,3,2,84.9731,서울 중랑구,1548,11260,10,,
"49,000",중개거래,1998,2024,101,24.04.05,개인,개인,면목동,두원,3,2,59.31,서울 중랑구,1521,11260,24,,
"105,000",중개거래,2020,2024,104동,24.04.24,개인,개인,면목동,쌍용더플래티넘용마산,3,2,84.9731,서울 중랑구,1548,11260,12,,
"55,900",중개거래,2000,2024,,,개인,개인,면목동,면목삼호101,3,2,83.27,서울 중랑구,1513,11260,3,,
"95,000",중개거래,2020,2024,,,개인,개인,면목동,사가정센트럴아이파크,3,3,59.78,서울 중랑구,1545,11260,22,,
"62,000",중개거래,1994,2024,103,24.04.26,개인,개인,면목동,현대,3,5,84.99,서울 중랑구,1502,11260,1,,
"73,000",중개거래,2003,2024,102,24.04.25,개인,개인,면목동,대원칸타빌,3,5,105.9035,서울 중랑구,581,11260,2,,
"31,700",중개거래,1988,2024,10동,24.04.15,개인,개인,면목동,면목한신,3,6,35.3,"서울 영등포구, 서울 중랑구",193-1,11260,2,,
"89,000",중개거래,2020,2024,,,개인,개인,면목동,라온프라이빗,3,8,59.9855,서울 중랑구,1544,11260,20,,
"65,000",중개거래,1998,2024,,,개인,개인,면목동,신성,3,9,84.98,서울 중랑구,1519,11260,9,,
"55,000",중개거래,1993,2024,,,개인,개인,면목동,두산1,3,9,59.76,서울 중랑구,1500,11260,3,,
"46,500",중개거래,2008,2024,,,개인,개인,면목동,동성네스트빌,3,9,83.29,서울 중랑구,181-30,11260,6,,
"54,000",직거래,1998,2024,101,24.03.28,개인,개인,면목동,신성,3,9,59.91,,1519,11260,14,,
"73,000",중개거래,1995,2024,,,개인,개인,면목동,두산2,3,12,84.77,"서울 성동구, 서울 중랑구",1510,11260,18,,
"113,000",중개거래,2020,2024,,,개인,개인,면목동,사가정센트럴아이파크,3,12,84.87,서울 중랑구,1545,11260,24,,
"59,500",중개거래,2002,2024,,,개인,개인,면목동,늘푸른동아,3,12,59.65,서울 중랑구,715,11260,8,,
"65,000",중개거래,1992,2024,,,개인,개인,면목동,용마금호타운,3,13,84.9,서울 중랑구,494,11260,14,,
"95,000",중개거래,2020,2024,,,개인,개인,면목동,라온프라이빗,3,13,84.9672,서울 중랑구,1544,11260,12,,
"105,000",중개거래,2020,2024,,,개인,개인,면목동,사가정센트럴아이파크,3,15,84.956,서울 중랑구,1545,11260,5,,
"72,000",중개거래,2000,2024,,,개인,개인,면목동,두산4,3,16,84.86,서울 중랑구,1522,11260,16,,
"72,000",중개거래,2002,2024,,,개인,개인,면목동,늘푸른동아,3,19,84.97,서울 중랑구,715,11260,10,,
"61,000",중개거래,2002,2024,,,개인,개인,면목동,늘푸른동아,3,19,59.65,서울 중랑구,715,11260,7,,
"58,800",중개거래,1998,2024,,,개인,개인,면목동,용마한신2,3,19,59.84,서울 중랑구,1073,11260,4,,
"49,800",중개거래,1990,2024,1,24.04.29,개인,개인,면목동,용마한신,3,19,59.22,서울 중랑구,1077-1,11260,15,,
"60,000",직거래,2004,2024,,,개인,개인,면목동,리치카운티,3,22,84.741,,1505,11260,3,24.04.04,O
"109,000",중개거래,2020,2024,,,개인,개인,면목동,사가정센트럴아이파크,3,23,84.87,서울 중랑구,1545,11260,5,,
"67,000",중개거래,1994,2024,,,개인,개인,면목동,현대,3,23,84.81,서울 중랑구,1502,11260,12,,
"58,500",중개거래,1993,2024,,,개인,개인,면목동,두산6,3,24,59.55,서울 중랑구,1501,11260,19,,
"62,000",중개거래,2000,2024,,,개인,개인,면목동,두산4,3,24,59.97,서울 중랑구,1522,11260,2,,
"59,000",중개거래,1997,2024,,,개인,개인,면목동,면목삼익아파트,3,27,59.5,서울 중랑구,1516,11260,19,,
"28,600",직거래,1988,2024,5동,24.03.28,개인,개인,면목동,면목한신,3,28,35.3,,193-1,11260,1,,
"49,800",중개거래,1988,2024,,,개인,개인,면목동,면목한신,3,28,58.46,서울 중랑구,193-1,11260,9,,
"109,000",중개거래,2020,2024,,,개인,개인,면목동,사가정센트럴아이파크,3,30,84.87,서울 성동구,1545,11260,5,,
"60,500",중개거래,2000,2024,,,개인,개인,면목동,두산5,3,30,59.72,서울 중랑구,1522-1,11260,17,,
"8,700",중개거래,2013,2024,,,개인,개인,면목동,신영,3,30,14.43,서울 중랑구,538,11260,5,,
"71,500",중개거래,1996,2024,209,24.04.29,개인,개인,상봉동,건영2차아파트,3,2,84.96,서울 중랑구,63,11260,17,,
"21,500",중개거래,2019,2024,,24.04.22,개인,개인,상봉동,상봉베스트원,3,5,22.14,서울 중랑구,101-19,11260,8,,
"117,000",중개거래,2013,2024,,,개인,개인,상봉동,프레미어스엠코,3,7,107.12,서울 중랑구,500,11260,38,,
"63,000",중개거래,2003,2024,,,개인,개인,상봉동,한일써너스빌,3,12,61.468,서울 중랑구,81-5,11260,8,,
"67,800",중개거래,2003,2024,,,개인,개인,상봉동,태영데시앙1,3,12,59.6772,서울 중랑구,497,11260,14,,
"30,000",중개거래,2019,2024,,24.04.19,개인,개인,상봉동,리더스,3,16,26.03,서울 중랑구,104-10,11260,8,,
"30,000",중개거래,2019,2024,,24.04.19,개인,개인,상봉동,리더스,3,18,29.34,서울 중랑구,104-10,11260,9,,
"105,000",중개거래,2003,2024,,,개인,개인,상봉동,한일써너스빌,3,22,125.677,서울 중랑구,81-5,11260,24,,
"78,500",중개거래,2006,2024,,,개인,개인,상봉동,건영캐스빌,3,23,84.6475,서울 중랑구,499,11260,16,,
"50,000",중개거래,1999,2024,101,24.04.15,개인,개인,상봉동,동부아파트,3,24,54,서울 중랑구,495,11260,10,,
"81,000",직거래,2006,2024,1507,24.03.26,개인,개인,상봉동,건영캐스빌,3,26,84.6475,,499,11260,12,,
"78,000",중개거래,2006,2024,,,개인,개인,상봉동,건영캐스빌,3,27,84.6475,서울 중랑구,499,11260,14,,
"26,000",직거래,2021,2024,,24.04.18,법인,개인,상봉동,상봉힐스테이,3,28,14.75,,106,11260,6,,
"26,000",직거래,2021,2024,,24.04.18,법인,개인,상봉동,상봉힐스테이,3,28,14.75,,106,11260,7,,
"59,900",중개거래,1997,2024,,,개인,개인,중화동,한신아파트상가동유치원동(103~109),3,7,59.76,서울 중랑구,450,11260,24,,
"50,000",직거래,1991,2024,,,개인,개인,중화동,극동,3,8,84.13,,19,11260,13,,
"13,000",직거래,2012,2024,,24.03.20,개인,개인,중화동,범양프레체,3,8,17.94,,208-4,11260,12,,
"61,500",중개거래,1998,2024,,,개인,개인,중화동,한신아파트상가동유치원동(103~109),3,9,59.76,서울 중랑구,450,11260,7,,
"53,000",중개거래,1998,2024,,,개인,개인,중화동,한신아파트상가동유치원동(103~109),3,11,50.37,서울 중랑구,450,11260,10,,
"56,000",중개거래,1998,2024,,,개인,개인,중화동,한신아파트상가동유치원동(103~109),3,15,50.37,서울 중랑구,450,11260,13,,
"64,500",중개거래,1998,2024,,,개인,개인,중화동,한신아파트상가동유치원동(102~102),3,22,59.76,서울 중랑구,450,11260,21,,
"82,000",중개거래,1998,2024,,,개인,개인,중화동,한신아파트상가동유치원동(102~102),3,22,84.03,서울 중랑구,450,11260,16,,
"11,500",중개거래,2012,2024,,24.04.05,개인,개인,중화동,범양프레체,3,23,17.94,서울 중랑구,208-4,11260,14,,
"52,000",중개거래,2007,2024,,,개인,개인,중화동,현대휴앤미,3,26,100.2,서울 중랑구,11,11260,3,,
