거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"197,000",중개거래,2005,2024,,,개인,개인,역삼동,e-편한세상,3,3,59.606,서울 강남구,755-4,11680,6,,
"61,000",직거래,2003,2024,,24.04.03,개인,개인,역삼동,노블스위트,3,5,78.94,,747,11680,4,,
"198,000",중개거래,2005,2024,,,개인,개인,역삼동,e-편한세상,3,6,59.606,서울 강남구,755-4,11680,8,,
"23,000",직거래,2001,2024,,24.03.27,개인,개인,역삼동,한화진넥스빌,3,9,39.2,,706-20,11680,22,,
"191,000",중개거래,1998,2024,,,개인,개인,역삼동,동부센트레빌,3,9,84.97,서울 강남구,716,11680,2,,
"168,000",중개거래,1998,2024,,,개인,개인,역삼동,동부센트레빌,3,9,59.97,서울 강남구,716,11680,8,,
"280,000",중개거래,2006,2024,,,개인,개인,역삼동,역삼I'PARK,3,9,144.431,서울 강남구,713-11,11680,20,,
"197,000",중개거래,2005,2024,,,개인,개인,역삼동,e-편한세상,3,9,59.947,서울 강남구,755-4,11680,17,,
"232,500",중개거래,2006,2024,,,개인,개인,역삼동,역삼푸르지오,3,12,84.9097,서울 서초구,754-1,11680,2,,
"229,000",중개거래,2005,2024,,,개인,개인,역삼동,역삼래미안,3,12,80.87,서울 강남구,757,11680,17,,
"239,000",중개거래,2014,2024,,,개인,개인,역삼동,테헤란아이파크,3,12,84.641,서울 강남구,709-5,11680,10,,
"30,000",중개거래,2001,2024,,24.03.26,개인,개인,역삼동,한화진넥스빌,3,15,39.2,서울 강남구,706-20,11680,26,,
"198,000",중개거래,2005,2024,,,개인,개인,역삼동,e-편한세상,3,15,59.606,서울 강남구,755-4,11680,14,,
"243,000",중개거래,2006,2024,107,24.04.29,개인,개인,역삼동,개나리래미안,3,17,84.93,서울 강남구,754,11680,12,,
"219,000",중개거래,2010,2024,,,개인,개인,역삼동,래미안그레이튼(진달래2차),3,18,84.81,서울 강남구,762-3,11680,1,,
"210,000",중개거래,2009,2024,,,개인,개인,역삼동,래미안그레이튼,3,21,70.98,서울 강남구,763-16,11680,10,,
"17,000",중개거래,2012,2024,,,개인,개인,역삼동,요진와이시티미니,3,27,12.1,서울 강남구,727-9,11680,3,,
"68,000",중개거래,2004,2024,,,개인,개인,역삼동,역삼동우정에쉐르1,3,28,57.98,서울 강남구,826-29,11680,4,,
"244,000",중개거래,2006,2024,,,개인,개인,역삼동,역삼푸르지오,3,29,84.9097,서울 강남구,754-1,11680,12,,
"320,000",중개거래,2006,2024,,,개인,개인,역삼동,역삼I'PARK,3,29,144.641,서울 강남구,713-11,11680,8,,
"235,000",중개거래,2006,2024,,,개인,개인,역삼동,역삼푸르지오,3,30,84.9097,서울 강남구,754-1,11680,13,,
"185,000",중개거래,2003,2024,,,개인,개인,역삼동,금호어울림,3,30,132.88,서울 서초구,835-67,11680,8,,
"193,000",중개거래,2006,2024,,,개인,개인,역삼동,역삼푸르지오,3,31,59.8848,서울 강남구,754-1,11680,22,,
"248,000",중개거래,2020,2024,,,개인,개인,개포동,개포래미안포레스트,3,1,84.86,서울 강남구,1282,11680,11,,
"227,000",중개거래,1983,2024,609,24.03.20,개인,개인,개포동,개포주공6단지,3,1,73.02,서울 강남구,185,11680,4,,
"180,000",중개거래,1983,2024,603,24.03.28,개인,개인,개포동,개포주공6단지,3,1,53.06,서울 강남구,185,11680,10,,
"160,000",중개거래,1992,2024,,,개인,개인,개포동,삼익대청아파트,3,1,60.0,서울 강남구,12,11680,4,,
